Iso_500,Norte,1836
-2.153742,44.5
-1.35,44.5
-1.35,41.8
-9.368745,41.8
-9.368532,41.85709
-9.366833,41.87054
-9.368108,41.8884
-9.369806,41.90106
-9.369595,41.91449
-9.369595,41.92682
-9.379577,41.93551
-9.38956,41.94278
-9.403366,41.95305
-9.413774,41.96458
-9.418872,41.97247
-9.419933,41.98274
-9.416323,41.99821
-9.414836,42.01036
-9.413349,42.02251
-9.412287,42.03135
-9.409739,42.05059
-9.408463,42.06826
-9.409951,42.08181
-9.413986,42.09411
-9.420146,42.10514
-9.435439,42.1157
-9.447122,42.12405
-9.453493,42.1376
-9.45583,42.1491
-9.451794,42.15854
-9.442023,42.17853
-9.43735,42.1905
-9.432466,42.2023
-9.428855,42.21095
-9.430342,42.22102
-9.439262,42.23879
-9.442023,42.25404
-9.439475,42.28249
-9.43289,42.29601
-9.430766,42.30904
-9.430191,42.31744
-9.428914,42.32012
-9.426147,42.32531
-9.421889,42.33397
-9.414227,42.33821
-9.408267,42.34294
-9.40103,42.34813
-9.393579,42.35222
-9.387406,42.35521
-9.38166,42.35867
-9.375486,42.36338
-9.370803,42.36858
-9.372719,42.37141
-9.377189,42.3777
-9.384852,42.38305
-9.390599,42.38729
-9.396346,42.39138
-9.397198,42.39452
-9.392089,42.40175
-9.387406,42.40741
-9.378679,42.41479
-9.371867,42.4214
-9.367823,42.42643
-9.365056,42.43051
-9.36463,42.43711
-9.367185,42.44213
-9.372931,42.44857
-9.380169,42.45674
-9.385065,42.46444
-9.38911,42.47307
-9.390387,42.47966
-9.38549,42.49113
-9.383574,42.49788
-9.38251,42.50415
-9.382298,42.51074
-9.384001,42.51435
-9.38996,42.51639
-9.398049,42.5178
-9.405712,42.51796
-9.413801,42.51765
-9.422528,42.51451
-9.429978,42.51513
-9.43679,42.51765
-9.441473,42.52235
-9.444666,42.52847
-9.44424,42.54274
-9.445091,42.55356
-9.44871,42.56109
-9.452541,42.56909
-9.455947,42.57222
-9.459353,42.57959
-9.464036,42.58695
-9.467229,42.5915
-9.470634,42.59652
-9.472763,42.59918
-9.479149,42.60529
-9.484045,42.6092
-9.490856,42.61375
-9.497456,42.61813
-9.504267,42.62017
-9.51044,42.62267
-9.51938,42.62675
-9.525553,42.62973
-9.532364,42.63395
-9.539815,42.63881
-9.544923,42.64162
-9.551735,42.64632
-9.556205,42.64946
-9.559185,42.65164
-9.567699,42.65775
-9.571744,42.66636
-9.570892,42.67559
-9.567699,42.68342
-9.562378,42.69406
-9.564719,42.70266
-9.567699,42.70829
