"gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"1"," 51",1,42.0704,-8.9683,105,160,6,"N17","Micromesistius poutassou"
"1"," 51",2,41.9656,-9.0392,113,30,1,"N17","Micromesistius poutassou"
"1"," 51",3,42.0337,-9.1335,136,952,19,"N17","Micromesistius poutassou"
"1"," 51",4,41.9847,-9.3106,171,12350,243,"N17","Micromesistius poutassou"
"1"," 51",5,42.0495,-9.3572,228.5,40150,610,"N17","Micromesistius poutassou"
"1"," 51",6,42.1215,-9.2738,188,30900,358,"N17","Micromesistius poutassou"
"1"," 51",7,42.2319,-8.9758,101.5,300,7,"N17","Micromesistius poutassou"
"1"," 51",8,42.15,-9.0652,133.5,780.251694094869,22,"N17","Micromesistius poutassou"
"1"," 51",9,42.1857,-9.1753,156,36,1,"N17","Micromesistius poutassou"
"1"," 51",10,42.2707,-9.1082,139.5,4450,98,"N17","Micromesistius poutassou"
"1"," 51",12,42.2713,-9.4633,592.5,15228.8072018005,62,"N17","Micromesistius poutassou"
"1"," 51",13,42.2845,-9.3486,241.5,16091.0031023785,250,"N17","Micromesistius poutassou"
"1"," 51",15,42.6077,-9.2213,102,38,1,"N17","Micromesistius poutassou"
"1"," 51",17,42.5337,-9.4089,289,26985.5222337125,270,"N17","Micromesistius poutassou"
"1"," 51",18,42.5199,-9.2957,134,600,16,"N17","Micromesistius poutassou"
"1"," 51",19,42.7147,-9.5744,533.5,3739.68492123031,23,"N17","Micromesistius poutassou"
"1"," 51",20,42.7914,-9.5394,232.5,83400,2164,"N17","Micromesistius poutassou"
"1"," 51",21,42.8458,-9.4258,152.5,145000,4837,"N17","Micromesistius poutassou"
"1"," 51",22,42.9279,-9.5545,231.5,47300,621,"N17","Micromesistius poutassou"
"1"," 51",23,42.9161,-9.5558,239.5,4686.69527896996,56,"N17","Micromesistius poutassou"
"1"," 51",24,43.0405,-9.4181,145,12450,327,"N17","Micromesistius poutassou"
"1"," 51",25,43.0819,-9.5663,238.5,52400,759,"N17","Micromesistius poutassou"
"1"," 51",26,43.2335,-9.5086,251.5,67200,870,"N17","Micromesistius poutassou"
"1"," 51",27,43.2065,-9.4206,169,298500,9694,"N17","Micromesistius poutassou"
"1"," 51",28,43.211,-9.4182,170,10917.2932330827,331,"N17","Micromesistius poutassou"
"1"," 51",29,43.3491,-9.3948,269.5,21950,325,"N17","Micromesistius poutassou"
"1"," 51",30,43.3025,-9.294,169.5,9325,345,"N17","Micromesistius poutassou"
"1"," 51",31,43.2523,-9.1107,97.5,1230,25,"N17","Micromesistius poutassou"
"1"," 51",32,43.3737,-9.0702,154,79050,1344,"N17","Micromesistius poutassou"
"1"," 51",33,43.5388,-9.0884,303.5,26690,291,"N17","Micromesistius poutassou"
"1"," 51",34,43.4794,-8.9642,169.5,186690,2313,"N17","Micromesistius poutassou"
"1"," 51",35,43.4403,-8.8403,148.5,212650,4899,"N17","Micromesistius poutassou"
"1"," 51",36,43.5456,-8.7515,158,380050,5999,"N17","Micromesistius poutassou"
"1"," 51",37,43.6088,-8.9085,244.5,98900,1198,"N17","Micromesistius poutassou"
"1"," 51",38,43.3687,-8.7612,94,26,1,"N17","Micromesistius poutassou"
"1"," 51",39,43.4693,-8.6896,140,112800,2413,"N17","Micromesistius poutassou"
"1"," 51",40,43.3928,-8.6447,102.5,892,22,"N17","Micromesistius poutassou"
"1"," 51",41,43.6816,-8.8602,595,2805.70142535634,23,"N17","Micromesistius poutassou"
"1"," 51",42,43.7134,-8.7241,297,131230.610134436,1346,"N17","Micromesistius poutassou"
"1"," 51",43,43.7777,-8.8393,559.5,2963.24081020255,20,"N17","Micromesistius poutassou"
"1"," 51",44,43.8893,-8.6915,435.5,35573.9400206825,304,"N17","Micromesistius poutassou"
"1"," 51",45,44.103,-8.9396,699.5,247.561890472618,2,"N17","Micromesistius poutassou"
"1"," 51",46,44.0503,-8.718,455,13700,81,"N17","Micromesistius poutassou"
"1"," 51",47,43.9835,-8.6334,419,20200,151,"N17","Micromesistius poutassou"
"1"," 51",48,44.034,-8.5955,364.5,75387.797311272,692,"N17","Micromesistius poutassou"
"1"," 51",49,44.0665,-8.4436,332.5,17340,178,"N17","Micromesistius poutassou"
"1"," 51",50,43.9501,-8.3484,240.5,49150,1193,"N17","Micromesistius poutassou"
