"gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"1"," 51",1,42.077,-8.9884,103,115495,4581,"N09","Micromesistius poutassou"
"1"," 51",2,41.9765,-9.0407,113.5,114200,4530,"N09","Micromesistius poutassou"
"1"," 51",3,42.0597,-9.1263,139.5,4150,154,"N09","Micromesistius poutassou"
"1"," 51",4,42.2331,-8.9714,99.5,220050,9535,"N09","Micromesistius poutassou"
"1"," 51",5,42.1575,-9.0678,132.5,162300,7336,"N09","Micromesistius poutassou"
"1"," 51",6,42.1945,-9.1673,152.5,12450,477,"N09","Micromesistius poutassou"
"1"," 51",7,42.2701,-9.1035,136,272850,11622,"N09","Micromesistius poutassou"
"1"," 51",8,42.428,-9.142,123,28050,1206,"N09","Micromesistius poutassou"
"1"," 51",9,42.3666,-9.1744,145,23000,889,"N09","Micromesistius poutassou"
"1"," 51",10,42.2623,-9.3443,238,24250,884,"N09","Micromesistius poutassou"
"1"," 51",11,42.2672,-9.465,602.5,243.810952738185,1,"N09","Micromesistius poutassou"
"1"," 51",12,41.9914,-9.3053,171,204300,8240,"N09","Micromesistius poutassou"
"1"," 51",13,42.1142,-9.2837,190,69800,2755,"N09","Micromesistius poutassou"
"1"," 51",14,42.053,-9.3591,229,16350,529,"N09","Micromesistius poutassou"
"1"," 51",15,42.1962,-9.4427,611.5,538.888888888889,6,"N09","Micromesistius poutassou"
"1"," 51",16,42.6324,-9.2136,102,31000,1217,"N09","Micromesistius poutassou"
"1"," 51",17,42.513,-9.2895,134.5,10650,547,"N09","Micromesistius poutassou"
"1"," 51",18,42.5202,-9.3854,229.5,11740,510,"N09","Micromesistius poutassou"
"1"," 51",19,42.6403,-9.5306,416,13250,70,"N09","Micromesistius poutassou"
"1"," 51",20,42.7881,-9.5378,230,7920,375,"N09","Micromesistius poutassou"
"1"," 51",21,42.9342,-9.5528,229,12400,521,"N09","Micromesistius poutassou"
"1"," 51",22,42.8535,-9.4285,156,11250,539,"N09","Micromesistius poutassou"
"1"," 51",23,42.8181,-9.2876,113.5,76600,3856,"N09","Micromesistius poutassou"
"1"," 51",24,42.6942,-9.355,128.5,36750,1654,"N09","Micromesistius poutassou"
"1"," 51",26,43.0339,-9.4243,147.5,34550,1696,"N09","Micromesistius poutassou"
"1"," 51",27,43.0747,-9.5629,232.5,17300,443,"N09","Micromesistius poutassou"
"1"," 51",28,43.1942,-9.4411,171.5,15350,748,"N09","Micromesistius poutassou"
"1"," 51",29,43.2445,-9.1261,94.5,77100,3612,"N09","Micromesistius poutassou"
"1"," 51",30,43.3132,-9.275,169,96000,5577,"N09","Micromesistius poutassou"
"1"," 51",31,43.3727,-9.3851,293.5,10075,194,"N09","Micromesistius poutassou"
"1"," 51",32,43.2406,-9.5117,267,13100,113,"N09","Micromesistius poutassou"
"1"," 51",34,43.4284,-9.2154,266.5,15650,651,"N09","Micromesistius poutassou"
"1"," 51",35,43.5357,-9.0902,301,11440,328,"N09","Micromesistius poutassou"
"1"," 51",36,43.6081,-8.9219,267.5,6425,227,"N09","Micromesistius poutassou"
"1"," 51",37,43.3685,-9.074,157,129100,7096,"N09","Micromesistius poutassou"
"1"," 51",38,43.4498,-8.9817,161.5,24000,1475,"N09","Micromesistius poutassou"
"1"," 51",39,43.45,-8.8297,151.5,82350,4415,"N09","Micromesistius poutassou"
"1"," 51",40,43.5509,-8.7496,161,64350,2908,"N09","Micromesistius poutassou"
"1"," 51",41,43.4649,-8.709,140.5,39700,1879,"N09","Micromesistius poutassou"
"1"," 51",43,44.05,-8.7226,459,30800,195,"N09","Micromesistius poutassou"
"1"," 51",44,43.9701,-8.6536,443.5,7190,90,"N09","Micromesistius poutassou"
"1"," 51",45,43.8738,-8.726,444,9690,104,"N09","Micromesistius poutassou"
"1"," 51",46,44.0894,-8.4781,344.5,25100,302,"N09","Micromesistius poutassou"
"1"," 51",47,44.0995,-8.3602,330,45000,385,"N09","Micromesistius poutassou"
"1"," 51",48,44.0476,-8.2934,298.5,11900,190,"N09","Micromesistius poutassou"
"1"," 51",49,43.9662,-8.441,287.5,14175,366,"N09","Micromesistius poutassou"
"1"," 51",50,43.8887,-8.5051,286,21700,554,"N09","Micromesistius poutassou"
"1"," 51",51,44.04,-8.0542,237.5,15300,558,"N09","Micromesistius poutassou"
"1"," 51",52,43.9133,-8.1097,185,44750,2971,"N09","Micromesistius poutassou"
"1"," 51",54,43.8129,-8.2804,180.5,16600,730,"N09","Micromesistius poutassou"
"1"," 51",55,43.3636,-8.7655,89,40,1,"N09","Micromesistius poutassou"
"1"," 51",56,43.3897,-8.6448,100,11240,416,"N09","Micromesistius poutassou"
"1"," 51",57,43.4457,-8.4913,96.5,75,2,"N09","Micromesistius poutassou"
"1"," 51",58,43.5571,-8.3979,97,225650,10250,"N09","Micromesistius poutassou"
"1"," 51",59,43.5341,-8.5035,136,226300,12739,"N09","Micromesistius poutassou"
"1"," 51",60,43.6102,-8.5058,153.5,99550,4719,"N09","Micromesistius poutassou"
"1"," 51",61,43.7064,-8.3983,158,42550,1913,"N09","Micromesistius poutassou"
"1"," 51",62,43.8174,-8.3908,191.5,28650,1217,"N09","Micromesistius poutassou"
"1"," 51",63,43.7267,-8.2538,143.5,17650,801,"N09","Micromesistius poutassou"
"1"," 51",64,43.6836,-8.5231,173,176650,9988,"N09","Micromesistius poutassou"
"1"," 51",65,43.6282,-8.589,168,25700,1298,"N09","Micromesistius poutassou"
"1"," 51",66,43.6806,-8.856,539.5,472.618154538635,7,"N09","Micromesistius poutassou"
"1"," 51",67,43.7079,-8.7292,292.5,4685,128,"N09","Micromesistius poutassou"
"1"," 51",68,43.7773,-8.852,590,1170.29257314329,10,"N09","Micromesistius poutassou"
"1"," 51",69,43.3693,-9.0726,155,19600,882,"N09","Micromesistius poutassou"
"1"," 51",70,43.4497,-8.9802,163,64100,3024,"N09","Micromesistius poutassou"
"1"," 51",71,43.6805,-8.8689,566.5,438.859714928732,6,"N09","Micromesistius poutassou"
"1"," 51",72,43.7055,-8.7312,290.5,5435,52,"N09","Micromesistius poutassou"
"1"," 51",73,43.3625,-8.7638,89.5,1285,31,"N09","Micromesistius poutassou"
"1"," 51",74,43.4667,-8.706,140,453550,24073,"N09","Micromesistius poutassou"
"1"," 51",75,43.7834,-7.5122,121,9750,694,"N09","Micromesistius poutassou"
"1"," 51",76,43.8946,-7.5339,151.5,612908,51294,"N09","Micromesistius poutassou"
"1"," 51",78,44.0249,-7.3303,185,1218600,99924,"N09","Micromesistius poutassou"
"1"," 51",79,43.7819,-7.3116,139,87750,7255,"N09","Micromesistius poutassou"
"1"," 51",82,43.8937,-7.1071,157.5,340,24,"N09","Micromesistius poutassou"
"1"," 51",83,43.9629,-7.2184,172,268200,22818,"N09","Micromesistius poutassou"
"1"," 51",84,43.6224,-7.0679,104,132.819194515853,1,"N09","Micromesistius poutassou"
"1"," 51",86,43.7175,-7.103,128,527.404343329886,3,"N09","Micromesistius poutassou"
"1"," 51",87,43.7017,-6.9106,124.5,16,1,"N09","Micromesistius poutassou"
"1"," 51",88,43.7755,-6.9108,137.5,265046.535677353,25581,"N09","Micromesistius poutassou"
"1"," 51",89,43.9669,-6.8484,153.5,12325,623,"N09","Micromesistius poutassou"
"1"," 51",90,43.9618,-6.7127,275.5,11650,93,"N09","Micromesistius poutassou"
"1"," 51",92,43.8993,-6.5348,248,35200,725,"N09","Micromesistius poutassou"
"1"," 51",96,43.7657,-6.0791,228.5,377300,11300,"N09","Micromesistius poutassou"
"1"," 51",97,43.8465,-6.2115,419,26100,232,"N09","Micromesistius poutassou"
"1"," 51",99,43.7624,-6.3,235.5,38390,1793,"N09","Micromesistius poutassou"
"1"," 51",102,43.933,-5.5373,590.5,120.030007501875,1,"N09","Micromesistius poutassou"
"1"," 51",103,43.893,-5.6119,296.5,14850,309,"N09","Micromesistius poutassou"
"1"," 51",104,43.781,-5.6357,157,164400,15786,"N09","Micromesistius poutassou"
"1"," 51",105,43.8046,-5.7835,158,692800,60468,"N09","Micromesistius poutassou"
"1"," 51",107,43.6897,-5.4948,139.5,422,11,"N09","Micromesistius poutassou"
"1"," 51",109,43.705,-5.1735,152.5,44,2,"N09","Micromesistius poutassou"
"1"," 51",110,43.6388,-4.581,191.5,27277.7777777778,1059,"N09","Micromesistius poutassou"
"1"," 51",111,43.5821,-4.6902,169.5,6100,481,"N09","Micromesistius poutassou"
"1"," 51",116,43.8285,-5.037,610,1579.14478619655,9,"N09","Micromesistius poutassou"
"1"," 51",117,43.8265,-5.3926,157.5,1920,184,"N09","Micromesistius poutassou"
"1"," 51",118,43.8736,-5.3984,280.5,3270,30,"N09","Micromesistius poutassou"
"1"," 51",119,43.7771,-5.0076,429.5,16550,162,"N09","Micromesistius poutassou"
"1"," 51",120,43.7209,-4.9797,179,118350,7962,"N09","Micromesistius poutassou"
"1"," 51",122,43.6516,-4.8125,186,37860,1643,"N09","Micromesistius poutassou"
"1"," 51",124,43.5443,-4.2874,167.5,85185,3090,"N09","Micromesistius poutassou"
"1"," 51",128,43.5703,-3.3149,178.5,121862.896315338,1575,"N09","Micromesistius poutassou"
"1"," 51",130,43.7001,-1.6835,115.5,7550,206,"N09","Micromesistius poutassou"
"1"," 51",132,43.895,-2.1316,324,7265,118,"N09","Micromesistius poutassou"
"1"," 51",133,43.4605,-2.3312,137,1680,106,"N09","Micromesistius poutassou"
"1"," 51",134,43.3819,-2.2448,104.5,3975,167,"N09","Micromesistius poutassou"
