"gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"1"," 51",3,42.2319,-8.9728,99.5,1359.87590486039,40,"N14","Micromesistius poutassou"
"1"," 51",4,42.271,-9.1077,138.5,199240,7239,"N14","Micromesistius poutassou"
"1"," 51",5,42.2013,-9.1639,152.5,76900,2922,"N14","Micromesistius poutassou"
"1"," 51",6,42.1561,-9.0607,133.5,73850,2905,"N14","Micromesistius poutassou"
"1"," 51",8,41.9749,-9.0425,113.5,11890,439,"N14","Micromesistius poutassou"
"1"," 51",9,42.0336,-9.1349,136.5,16110,585,"N14","Micromesistius poutassou"
"1"," 51",10,41.9884,-9.3152,175.5,7800,281,"N14","Micromesistius poutassou"
"1"," 51",11,42.0555,-9.3551,227,46773.5263702172,1653,"N14","Micromesistius poutassou"
"1"," 51",12,42.1141,-9.2851,191.5,123000,4715,"N14","Micromesistius poutassou"
"1"," 51",13,42.2847,-9.4587,587,13578.3945986497,70,"N14","Micromesistius poutassou"
"1"," 51",14,42.2862,-9.3569,244.5,2465,83,"N14","Micromesistius poutassou"
"1"," 51",15,42.3053,-9.2368,182.5,130150,4772,"N14","Micromesistius poutassou"
"1"," 51",16,42.3774,-9.1705,145,6550,231,"N14","Micromesistius poutassou"
"1"," 51",17,42.522,-9.3835,218,143900,4461,"N14","Micromesistius poutassou"
"1"," 51",18,42.5146,-9.289,132,150,4,"N14","Micromesistius poutassou"
"1"," 51",20,42.6974,-9.3587,129.5,54450,2069,"N14","Micromesistius poutassou"
"1"," 51",21,42.8506,-9.4216,154.5,122699.069286453,4703,"N14","Micromesistius poutassou"
"1"," 51",22,42.7237,-9.584,657.5,2966.99174793698,17,"N14","Micromesistius poutassou"
"1"," 51",23,42.7965,-9.5474,255,30204,740,"N14","Micromesistius poutassou"
"1"," 51",24,42.931,-9.5572,234,31170,787,"N14","Micromesistius poutassou"
"1"," 51",25,43.0819,-9.5694,247,27410,740,"N14","Micromesistius poutassou"
"1"," 51",26,43.0486,-9.4171,147,64150,2566,"N14","Micromesistius poutassou"
"1"," 51",27,43.2103,-9.4167,167.5,29150,1001,"N14","Micromesistius poutassou"
"1"," 51",28,43.2404,-9.507,258.5,40620,371,"N14","Micromesistius poutassou"
"1"," 51",29,43.3486,-9.3927,266.5,37250,1318,"N14","Micromesistius poutassou"
"1"," 51",30,43.2477,-9.1234,95,2320,50,"N14","Micromesistius poutassou"
"1"," 51",31,43.3008,-9.2879,166,20700,745,"N14","Micromesistius poutassou"
"1"," 51",32,43.3709,-9.0712,152.5,249295,10100,"N14","Micromesistius poutassou"
"1"," 51",33,43.4483,-8.9777,160.5,14430,561,"N14","Micromesistius poutassou"
"1"," 51",34,43.5457,-9.0691,286.5,91525,970,"N14","Micromesistius poutassou"
"1"," 51",35,43.6196,-8.905,256.5,65800,2110,"N14","Micromesistius poutassou"
"1"," 51",36,43.6804,-8.872,576.5,986.496624156039,6,"N14","Micromesistius poutassou"
"1"," 51",37,43.7757,-8.8483,584,5661.53846153846,37,"N14","Micromesistius poutassou"
"1"," 51",38,43.698,-8.7434,293,54650,601,"N14","Micromesistius poutassou"
"1"," 51",39,43.3924,-8.6455,102.5,5685,126,"N14","Micromesistius poutassou"
"1"," 51",40,43.4584,-8.6947,135,15195,506,"N14","Micromesistius poutassou"
"1"," 51",41,43.3684,-8.7622,91,745,10,"N14","Micromesistius poutassou"
"1"," 51",42,43.4429,-8.8299,147.5,14800,424,"N14","Micromesistius poutassou"
"1"," 51",43,43.5404,-8.7232,154,76870,3505,"N14","Micromesistius poutassou"
"1"," 51",44,43.8931,-8.6827,434.5,17435,173,"N14","Micromesistius poutassou"
"1"," 51",45,43.9793,-8.6367,424,6650,64,"N14","Micromesistius poutassou"
"1"," 51",46,44.0489,-8.7167,453.5,5040,43,"N14","Micromesistius poutassou"
"1"," 51",47,44.1021,-8.9262,678,881.470367591898,5,"N14","Micromesistius poutassou"
"1"," 51",48,44.0328,-8.5846,359,13795,149,"N14","Micromesistius poutassou"
"1"," 51",49,44.0748,-8.4482,339.5,48430.1780693533,1436,"N14","Micromesistius poutassou"
"1"," 51",50,44.0456,-8.2822,293,426600,15351,"N14","Micromesistius poutassou"
"1"," 51",51,43.954,-8.3536,243,206582.768635044,8530,"N14","Micromesistius poutassou"
"1"," 51",52,43.8872,-8.4943,276,33950,532,"N14","Micromesistius poutassou"
"1"," 51",53,43.8392,-7.9114,129.5,6582.21302998966,93,"N14","Micromesistius poutassou"
"1"," 51",54,43.9116,-8.134,188,179350,8086,"N14","Micromesistius poutassou"
"1"," 51",55,43.9863,-8.1173,212,230520,9093,"N14","Micromesistius poutassou"
"1"," 51",56,44.0435,-8.0168,233,271150,10414,"N14","Micromesistius poutassou"
"1"," 51",57,43.814,-8.2836,180,20620,416,"N14","Micromesistius poutassou"
"1"," 51",58,43.82,-8.3909,193.5,13086.8665977249,511,"N14","Micromesistius poutassou"
"1"," 51",59,43.716,-8.3964,166,204700,10030,"N14","Micromesistius poutassou"
"1"," 51",60,43.6911,-8.5189,172.5,49150,2113,"N14","Micromesistius poutassou"
"1"," 51",61,43.6245,-8.6013,163,208076.525336091,9110,"N14","Micromesistius poutassou"
"1"," 51",62,43.4474,-8.5047,102.5,206.825232678387,2,"N14","Micromesistius poutassou"
"1"," 51",63,43.5312,-8.5159,138.5,31385,1385,"N14","Micromesistius poutassou"
"1"," 51",64,43.6068,-8.5107,154,8200,336,"N14","Micromesistius poutassou"
"1"," 51",65,43.6919,-8.5979,182.5,203505,8495,"N14","Micromesistius poutassou"
"1"," 51",66,43.7869,-7.5307,117,3925,53,"N14","Micromesistius poutassou"
"1"," 51",67,43.9006,-7.5249,152.5,62450,2059,"N14","Micromesistius poutassou"
"1"," 51",68,44.0857,-7.5664,506,10240.0600150038,58,"N14","Micromesistius poutassou"
"1"," 51",69,44.0288,-7.3474,190,100700,3703,"N14","Micromesistius poutassou"
"1"," 51",71,43.6868,-6.0839,114,7855,134,"N14","Micromesistius poutassou"
"1"," 51",72,43.6897,-6.2747,135,1180,14,"N14","Micromesistius poutassou"
"1"," 51",74,43.7637,-6.3011,238.5,3948909,153241,"N14","Micromesistius poutassou"
"1"," 51",75,43.7804,-6.9072,137.5,25940,909,"N14","Micromesistius poutassou"
"1"," 51",76,43.7387,-6.9845,129.5,3215,101,"N14","Micromesistius poutassou"
"1"," 51",77,43.622,-7.0602,106.5,3000,41,"N14","Micromesistius poutassou"
"1"," 51",78,43.6745,-7.1627,117,4105,59,"N14","Micromesistius poutassou"
"1"," 51",79,43.8615,-7.3177,154.5,3475.31461761859,54,"N14","Micromesistius poutassou"
"1"," 51",80,43.8855,-7.1143,159,702605.997931748,26692,"N14","Micromesistius poutassou"
