"gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"1"," 51",1,42.055,-8.9914,104,534,18,"N18","Micromesistius poutassou"
"1"," 51",2,41.9689,-9.0466,114.5,98350,3860,"N18","Micromesistius poutassou"
"1"," 51",3,42.0335,-9.1432,139,16000,603,"N18","Micromesistius poutassou"
"1"," 51",4,41.9859,-9.3094,173,33815.9255429162,1286,"N18","Micromesistius poutassou"
"1"," 51",5,42.0436,-9.357,227,152960,5189,"N18","Micromesistius poutassou"
"1"," 51",6,42.1215,-9.275,187,15400,550,"N18","Micromesistius poutassou"
"1"," 51",7,42.2258,-8.9732,102,35800,1434,"N18","Micromesistius poutassou"
"1"," 51",8,42.1522,-9.0641,133.5,59600,2475,"N18","Micromesistius poutassou"
"1"," 51",9,42.1915,-9.1718,155,4720,183,"N18","Micromesistius poutassou"
"1"," 51",10,42.2602,-9.0996,138,52250,2098,"N18","Micromesistius poutassou"
"1"," 51",12,42.2766,-9.4636,595,10516.1290322581,38,"N18","Micromesistius poutassou"
"1"," 51",13,42.291,-9.3528,245,24458,551,"N18","Micromesistius poutassou"
"1"," 51",14,42.3713,-9.1691,145.5,463750,17346,"N18","Micromesistius poutassou"
"1"," 51",16,42.52,-9.293,133,143850,5021,"N18","Micromesistius poutassou"
"1"," 51",17,42.5194,-9.3821,222.5,54850,1224,"N18","Micromesistius poutassou"
"1"," 51",18,42.7025,-9.3658,133.5,20950,671,"N18","Micromesistius poutassou"
"1"," 51",19,43.8718,-8.5207,281,11336,305,"N18","Micromesistius poutassou"
"1"," 51",20,43.9475,-8.3687,246.5,142605.997931748,4482,"N18","Micromesistius poutassou"
"1"," 51",21,44.0498,-8.2551,294.5,308800,10063,"N18","Micromesistius poutassou"
"1"," 51",22,44.0331,-8.042,225.5,401200,12503,"N18","Micromesistius poutassou"
"1"," 51",23,44.0971,-8.9261,693,358.589647411853,2,"N18","Micromesistius poutassou"
"1"," 51",24,44.0541,-8.7288,460,15978,113,"N18","Micromesistius poutassou"
"1"," 51",25,44.0404,-8.5884,360,10980,119,"N18","Micromesistius poutassou"
"1"," 51",26,44.0566,-8.4564,332,5350,64,"N18","Micromesistius poutassou"
"1"," 51",27,43.5315,-8.5121,136.5,535200,19811,"N18","Micromesistius poutassou"
"1"," 51",31,42.8478,-9.4257,153.5,396,13,"N18","Micromesistius poutassou"
