"gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"1"," 51",1,41.974,-9.0427,114,33200,496,"N10","Micromesistius poutassou"
"1"," 51",2,42.0547,-9.1271,138,51654.6018614271,875,"N10","Micromesistius poutassou"
"1"," 51",3,42.0859,-8.9856,104,17700,218,"N10","Micromesistius poutassou"
"1"," 51",4,42.1569,-9.0694,133,63350,1070,"N10","Micromesistius poutassou"
"1"," 51",5,41.9938,-9.3073,171,280,4,"N10","Micromesistius poutassou"
"1"," 51",6,42.053,-9.3535,223,3900,73,"N10","Micromesistius poutassou"
"1"," 51",7,42.1152,-9.2827,192,10350,284,"N10","Micromesistius poutassou"
"1"," 51",8,42.2326,-8.9702,99,219590,4941,"N10","Micromesistius poutassou"
"1"," 51",9,42.267,-9.1085,137.5,81700,1455,"N10","Micromesistius poutassou"
"1"," 51",10,42.1986,-9.1642,152,390850,11623,"N10","Micromesistius poutassou"
"1"," 51",13,42.263,-9.3441,237.5,16000,409,"N10","Micromesistius poutassou"
"1"," 51",14,42.3731,-9.1739,145,65550,1387,"N10","Micromesistius poutassou"
"1"," 51",15,42.517,-9.2916,134,209100,7049,"N10","Micromesistius poutassou"
"1"," 51",16,42.7734,-9.532,214,297600,8698,"N10","Micromesistius poutassou"
"1"," 51",17,42.6949,-9.5674,602,2381.84546136534,14,"N10","Micromesistius poutassou"
"1"," 51",18,42.5202,-9.3833,223.5,53090,1718,"N10","Micromesistius poutassou"
"1"," 51",19,42.635,-9.2127,102,98600,2718,"N10","Micromesistius poutassou"
"1"," 51",20,42.7015,-9.3649,130,66752.8438469493,1729,"N10","Micromesistius poutassou"
"1"," 51",21,42.8227,-9.2923,110,103388.189738625,2292,"N10","Micromesistius poutassou"
"1"," 51",22,42.8552,-9.4251,154.5,51050,1556,"N10","Micromesistius poutassou"
"1"," 51",23,42.938,-9.5546,230,121300,3193,"N10","Micromesistius poutassou"
"1"," 51",24,43.0334,-9.4229,145,175050,6446,"N10","Micromesistius poutassou"
"1"," 51",25,43.0746,-9.5637,232,25650,715,"N10","Micromesistius poutassou"
"1"," 51",26,43.194,-9.4424,170.5,18850,433,"N10","Micromesistius poutassou"
"1"," 51",27,43.2424,-9.511,266.5,14550,289,"N10","Micromesistius poutassou"
"1"," 51",28,43.3558,-9.3836,272,12600,378,"N10","Micromesistius poutassou"
"1"," 51",29,43.2441,-9.1266,92.5,25500,551,"N10","Micromesistius poutassou"
"1"," 51",30,43.3139,-9.2742,166.5,23900,537,"N10","Micromesistius poutassou"
"1"," 51",31,43.3695,-9.0573,150,8985,225,"N10","Micromesistius poutassou"
"1"," 51",32,43.4463,-9.0022,162.5,19050,513,"N10","Micromesistius poutassou"
"1"," 51",33,43.5202,-9.1407,365.5,7400,153,"N10","Micromesistius poutassou"
"1"," 51",34,43.6136,-8.9041,244,32100,979,"N10","Micromesistius poutassou"
"1"," 51",35,43.6813,-8.8547,546,768.94223555889,13,"N10","Micromesistius poutassou"
"1"," 51",36,43.7052,-8.7312,280,38150,1137,"N10","Micromesistius poutassou"
"1"," 51",37,43.7777,-8.8584,606.5,836.459114778695,17,"N10","Micromesistius poutassou"
"1"," 51",39,44.0492,-8.7211,458,4250,45,"N10","Micromesistius poutassou"
"1"," 51",40,43.9721,-8.6536,442,2720,43,"N10","Micromesistius poutassou"
"1"," 51",41,43.959,-8.3505,246,2647.05882352941,61,"N10","Micromesistius poutassou"
"1"," 51",42,44.0478,-8.285,295.5,13400,262,"N10","Micromesistius poutassou"
"1"," 51",43,44.0748,-8.4886,339,1900,25,"N10","Micromesistius poutassou"
"1"," 51",44,44.0125,-8.5849,362.5,6505,79,"N10","Micromesistius poutassou"
"1"," 51",45,43.3694,-8.7734,94.5,51137.5387797311,1625,"N10","Micromesistius poutassou"
"1"," 51",46,43.4494,-8.8313,150,44900,1535,"N10","Micromesistius poutassou"
"1"," 51",47,43.5503,-8.7506,158,128950,7942,"N10","Micromesistius poutassou"
"1"," 51",48,43.4659,-8.7075,137.5,255000,13713,"N10","Micromesistius poutassou"
"1"," 51",50,43.5329,-8.5084,134,390200,17930,"N10","Micromesistius poutassou"
