"gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"1"," 51",2,41.9915,-9.308,169,147850,4297,"N11","Micromesistius poutassou"
"1"," 51",3,42.0565,-9.1303,138,1030,30,"N11","Micromesistius poutassou"
"1"," 51",5,42.1803,-9.437,533.5,943.172849250197,3,"N11","Micromesistius poutassou"
"1"," 51",6,42.0444,-9.3487,217,20400,476,"N11","Micromesistius poutassou"
"1"," 51",7,42.1099,-9.2882,189.5,76000,1998,"N11","Micromesistius poutassou"
"1"," 51",8,42.1882,-9.1716,153,9885,272,"N11","Micromesistius poutassou"
"1"," 51",9,42.2377,-8.9695,97.5,320,3,"N11","Micromesistius poutassou"
"1"," 51",11,42.2622,-9.4646,589.5,1312.82820705176,5,"N11","Micromesistius poutassou"
"1"," 51",12,42.2662,-9.3391,236,9245,240,"N11","Micromesistius poutassou"
"1"," 51",13,42.2657,-9.0998,138,6665,138,"N11","Micromesistius poutassou"
"1"," 51",14,42.3628,-9.1669,144.5,11274,264,"N11","Micromesistius poutassou"
"1"," 51",15,42.5102,-9.2891,134.5,6410,170,"N11","Micromesistius poutassou"
"1"," 51",16,42.772,-9.5316,213.5,78300,1271,"N11","Micromesistius poutassou"
"1"," 51",17,42.6966,-9.5674,579.5,2087.77194298575,8,"N11","Micromesistius poutassou"
"1"," 51",18,42.5226,-9.387,229.5,12315,212,"N11","Micromesistius poutassou"
"1"," 51",20,42.6969,-9.3596,129,510,15,"N11","Micromesistius poutassou"
"1"," 51",21,42.848,-9.4243,152.5,36350,1056,"N11","Micromesistius poutassou"
"1"," 51",22,42.9323,-9.553,227.5,79200,2196,"N11","Micromesistius poutassou"
"1"," 51",23,43.0323,-9.4243,147.5,77450,2450,"N11","Micromesistius poutassou"
"1"," 51",24,43.0715,-9.5618,232.5,8100,183,"N11","Micromesistius poutassou"
"1"," 51",25,43.1917,-9.4456,172.5,28790,540,"N11","Micromesistius poutassou"
"1"," 51",26,43.2399,-9.5122,265,101710,3011,"N11","Micromesistius poutassou"
"1"," 51",27,43.3538,-9.3876,269.5,189800,5208,"N11","Micromesistius poutassou"
"1"," 51",28,43.3055,-9.2831,168.5,21850,681,"N11","Micromesistius poutassou"
"1"," 51",29,43.2494,-9.118,97,1595,21,"N11","Micromesistius poutassou"
"1"," 51",30,43.3649,-9.0599,149,156350,3334,"N11","Micromesistius poutassou"
"1"," 51",31,43.4489,-8.9865,161,59350,1187,"N11","Micromesistius poutassou"
"1"," 51",32,43.4479,-8.8361,151,19200,349,"N11","Micromesistius poutassou"
"1"," 51",33,43.4649,-8.7116,140,21000,442,"N11","Micromesistius poutassou"
"1"," 51",34,43.3645,-8.767,91,6015,48,"N11","Micromesistius poutassou"
"1"," 51",35,43.5442,-9.079,296,9750,152,"N11","Micromesistius poutassou"
"1"," 51",36,43.6082,-8.9222,265.5,1965,36,"N11","Micromesistius poutassou"
"1"," 51",37,43.6804,-8.8626,555.5,540.13503375844,5,"N11","Micromesistius poutassou"
"1"," 51",38,43.7777,-8.852,588,1879.21980495124,17,"N11","Micromesistius poutassou"
"1"," 51",40,44.051,-8.7237,458.5,26050,171,"N11","Micromesistius poutassou"
"1"," 51",41,43.9758,-8.6564,444.5,19750,209,"N11","Micromesistius poutassou"
"1"," 51",42,43.8748,-8.709,435.5,53200,417,"N11","Micromesistius poutassou"
"1"," 51",43,44.0382,-8.5874,358,28400,321,"N11","Micromesistius poutassou"
"1"," 51",44,44.0888,-8.4994,343,2030,32,"N11","Micromesistius poutassou"
"1"," 51",45,44.049,-8.2874,296.5,4565,81,"N11","Micromesistius poutassou"
"1"," 51",46,43.9521,-8.3599,244.5,17000,406,"N11","Micromesistius poutassou"
"1"," 51",47,43.8926,-8.4928,280,1920,30,"N11","Micromesistius poutassou"
"1"," 51",48,44.0428,-8.0531,237.5,3620,67,"N11","Micromesistius poutassou"
"1"," 51",49,43.9141,-8.1012,183,38750,913,"N11","Micromesistius poutassou"
"1"," 51",51,43.8155,-8.2748,179.5,31200,815,"N11","Micromesistius poutassou"
"1"," 51",52,43.8166,-8.3918,193,6200,126,"N11","Micromesistius poutassou"
"1"," 51",53,43.6986,-8.4053,160.5,21900,376,"N11","Micromesistius poutassou"
"1"," 51",54,43.6849,-8.5223,172,9295,168,"N11","Micromesistius poutassou"
"1"," 51",55,43.693,-8.7477,286.5,5550,96,"N11","Micromesistius poutassou"
"1"," 51",56,43.6287,-8.5922,166.5,15100,316,"N11","Micromesistius poutassou"
"1"," 51",57,43.5984,-8.5102,154,32500,719,"N11","Micromesistius poutassou"
"1"," 51",58,43.4451,-8.4925,97.5,735,8,"N11","Micromesistius poutassou"
"1"," 51",59,43.5305,-8.5206,138,15350,248,"N11","Micromesistius poutassou"
"1"," 51",60,43.5538,-8.7425,159,49100,1049,"N11","Micromesistius poutassou"
"1"," 51",62,44.0789,-7.5954,545.5,97.5243810952738,2,"N11","Micromesistius poutassou"
"1"," 51",63,43.9998,-7.5448,182.5,1287.48707342296,20,"N11","Micromesistius poutassou"
"1"," 51",64,44.0276,-7.3422,183.5,640,11,"N11","Micromesistius poutassou"
"1"," 51",66,43.7867,-7.5254,119,86,1,"N11","Micromesistius poutassou"
"1"," 51",67,43.8594,-7.3244,152,345,4,"N11","Micromesistius poutassou"
"1"," 51",68,43.8907,-7.1084,155.5,1565,72,"N11","Micromesistius poutassou"
"1"," 51",72,43.7392,-6.9976,130,1095,22,"N11","Micromesistius poutassou"
"1"," 51",73,43.7706,-6.9101,134.5,920,19,"N11","Micromesistius poutassou"
"1"," 51",75,43.9646,-6.7202,286.5,139550,2191,"N11","Micromesistius poutassou"
"1"," 51",77,43.897,-6.53,260,130900,2080,"N11","Micromesistius poutassou"
"1"," 51",80,43.7674,-6.081,226,182250,5640,"N11","Micromesistius poutassou"
"1"," 51",81,43.8449,-6.2111,412,80850,1051,"N11","Micromesistius poutassou"
"1"," 51",82,43.7613,-6.2957,234,236100,10861,"N11","Micromesistius poutassou"
"1"," 51",86,43.8047,-5.7875,152.5,82.7300930713547,3,"N11","Micromesistius poutassou"
"1"," 51",90,43.6243,-5.3779,117,256,4,"N11","Micromesistius poutassou"
"1"," 51",92,43.9334,-5.5217,596.5,292.307692307692,8,"N11","Micromesistius poutassou"
"1"," 51",93,43.7602,-5.3899,140,4450,75,"N11","Micromesistius poutassou"
"1"," 51",94,43.8751,-5.408,275,66261.1516626115,1105,"N11","Micromesistius poutassou"
"1"," 51",95,43.7765,-5.0498,410.5,21000,292,"N11","Micromesistius poutassou"
"1"," 51",96,43.7242,-4.9855,176,10890,367,"N11","Micromesistius poutassou"
"1"," 51",97,43.6373,-4.9983,418,641.410352588147,6,"N11","Micromesistius poutassou"
"1"," 51",100,43.5078,-4.5686,270.5,57250,593,"N11","Micromesistius poutassou"
"1"," 51",104,43.4608,-2.3344,135,30816.9596690796,1006,"N11","Micromesistius poutassou"
"1"," 51",105,43.4465,-2.2141,138.5,80950,3697,"N11","Micromesistius poutassou"
"1"," 51",108,43.3683,-2.036,96.5,17950,235,"N11","Micromesistius poutassou"
"1"," 51",109,43.5569,-1.9184,152.5,9650,325,"N11","Micromesistius poutassou"
"1"," 51",110,43.5239,-2.0458,175.5,13350,596,"N11","Micromesistius poutassou"
"1"," 51",112,43.5593,-2.2461,360,33530,431,"N11","Micromesistius poutassou"
"1"," 51",113,43.5242,-2.4482,198.5,214350,3258,"N11","Micromesistius poutassou"
"1"," 51",114,43.5923,-2.6618,293.5,1693540,17911,"N11","Micromesistius poutassou"
"1"," 51",116,43.591,-3.0854,213,41400,570,"N11","Micromesistius poutassou"
"1"," 51",117,43.5735,-3.3034,181.5,115835,1716,"N11","Micromesistius poutassou"
"1"," 51",118,43.5816,-4.6715,172.5,34850,1403,"N11","Micromesistius poutassou"
"1"," 51",119,43.6408,-4.5577,193.5,35350,687,"N11","Micromesistius poutassou"
"1"," 51",120,43.5532,-3.8728,108.5,40,1,"N11","Micromesistius poutassou"
"1"," 51",122,43.6672,-3.7717,238.5,65500,972,"N11","Micromesistius poutassou"
"1"," 51",123,43.6386,-3.7993,184,55600,890,"N11","Micromesistius poutassou"
"1"," 50",1,41.974,-9.0437,114,29850,678,"N11","Merluccius merluccius"
"1"," 50",2,41.9915,-9.308,169,13700,459,"N11","Merluccius merluccius"
"1"," 50",3,42.0565,-9.1303,138,21655,518,"N11","Merluccius merluccius"
"1"," 50",4,42.0838,-8.981,105,6150,66,"N11","Merluccius merluccius"
"1"," 50",5,42.1803,-9.437,533.5,1136.54301499605,2,"N11","Merluccius merluccius"
"1"," 50",6,42.0444,-9.3487,217,10700,493,"N11","Merluccius merluccius"
"1"," 50",7,42.1099,-9.2882,189.5,9340,250,"N11","Merluccius merluccius"
"1"," 50",8,42.1882,-9.1716,153,24300,766,"N11","Merluccius merluccius"
"1"," 50",9,42.2377,-8.9695,97.5,22500,151,"N11","Merluccius merluccius"
"1"," 50",10,42.1585,-9.0668,133,28700,545,"N11","Merluccius merluccius"
"1"," 50",11,42.2622,-9.4646,589.5,277.569392348087,1,"N11","Merluccius merluccius"
"1"," 50",12,42.2662,-9.3391,236,9750,328,"N11","Merluccius merluccius"
"1"," 50",13,42.2657,-9.0998,138,18150,509,"N11","Merluccius merluccius"
"1"," 50",14,42.3628,-9.1669,144.5,18226,649,"N11","Merluccius merluccius"
