"lan","lat","long","prof","peso.gr","numero","camp"
1,42.0657,-8.9898,105,174,1,"N19"
2,41.9748,-9.0439,105,0,0,"N19"
3,42.0348,-9.1442,139,0,0,"N19"
4,41.9847,-9.3094,170,448,1,"N19"
5,42.0423,-9.3571,227.5,0,0,"N19"
6,42.1206,-9.2755,188.5,0,0,"N19"
7,42.2305,-8.9748,102.5,594,3,"N19"
8,42.1529,-9.0607,132.5,274,1,"N19"
9,42.1854,-9.176,156.5,0,0,"N19"
10,42.2497,-9.0915,136.5,0,0,"N19"
11,42.5401,-9.2169,147,0,0,"N19"
12,42.2689,-9.3445,239,0,0,"N19"
13,42.2689,-9.4649,612,0,0,"N19"
14,42.2625,-9.4869,810.5,0,0,"N19"
15,42.6145,-9.2177,103,660,2,"N19"
16,42.5166,-9.293,133,0,0,"N19"
17,42.5168,-9.3789,218.5,0,0,"N19"
18,42.6989,-9.3589,130.5,0,0,"N19"
19,42.6864,-9.5663,594.5,0,0,"N19"
20,42.784,-9.5382,230,0,0,"N19"
21,42.8456,-9.4258,152.5,0,0,"N19"
22,42.9276,-9.5554,233,0,0,"N19"
23,42.8749,-9.4181,146,708,2,"N19"
24,43.2069,-9.4213,170.5,0,0,"N19"
25,43.237,-9.5137,268,0,0,"N19"
26,43.083,-9.5674,241.5,0,0,"N19"
27,43.3085,-9.2775,171,0,0,"N19"
28,43.3532,-9.3883,271.5,0,0,"N19"
29,43.5396,-9.0834,294.5,0,0,"N19"
30,43.483,-8.9685,171,0,0,"N19"
31,43.2498,-9.1175,98,310,1,"N19"
32,43.3743,-9.0493,153,0,0,"N19"
33,43.4445,-8.8264,151.5,2996,5,"N19"
34,43.3608,-8.7605,86.5,2762,3,"N19"
35,43.816,-8.2821,180.5,998,1,"N19"
36,43.8207,-8.3871,193,0,0,"N19"
37,43.7205,-8.3897,178.5,0,0,"N19"
38,43.6944,-8.5092,177,0,0,"N19"
39,43.6097,-8.5071,155,0,0,"N19"
40,43.6086,-8.909,244.5,0,0,"N19"
41,43.6799,-8.8689,561.5,0,0,"N19"
42,43.7777,-8.85,586,0,0,"N19"
43,43.7073,-8.7307,294.5,0,0,"N19"
44,44.1008,-8.9335,693,0,0,"N19"
45,44.0496,-8.722,460,0,0,"N19"
46,43.9887,-8.637,422.5,0,0,"N19"
47,43.8971,-8.6762,434.5,0,0,"N19"
48,44.0656,-8.4461,331,0,0,"N19"
49,44.0405,-8.5883,359,0,0,"N19"
50,43.8702,-8.5223,282.5,0,0,"N19"
51,43.9467,-8.3703,248.5,0,0,"N19"
52,43.8389,-7.8981,128,0,0,"N19"
53,43.9077,-8.144,185.5,0,0,"N19"
54,44.0501,-8.2595,298,0,0,"N19"
55,44.0319,-8.0446,225,0,0,"N19"
56,43.5505,-8.6438,101.5,3890,9,"N19"
57,43.4707,-8.6921,139.5,0,0,"N19"
58,43.447,-8.5015,101.5,704,1,"N19"
59,43.5327,-8.5068,137.5,0,0,"N19"
60,43.5474,-8.7535,159.5,0,0,"N19"
61,43.6269,-8.5979,164.5,0,0,"N19"
62,43.7885,-7.532,119.5,0,0,"N19"
63,43.8571,-7.3247,151.5,0,0,"N19"
64,43.9978,-7.5515,182,0,0,"N19"
65,44.0847,-7.5715,528.5,0,0,"N19"
66,44.0314,-7.3548,191,0,0,"N19"
67,43.9597,-7.1976,175.5,0,0,"N19"
68,43.8911,-7.1187,159,0,0,"N19"
69,43.9959,-6.9992,181,0,0,"N19"
70,43.6823,-7.1675,118,0,0,"N19"
71,43.622,-7.0629,107,0,0,"N19"
72,43.7383,-6.9984,130.5,0,0,"N19"
73,43.7792,-6.9057,138,0,0,"N19"
74,43.9681,-6.7632,289.5,0,0,"N19"
75,43.8873,-6.6049,142.5,0,0,"N19"
