"lan","lat","long","prof","peso.gr","numero","camp"
76,43.8931,-6.5242,252,0,0,"N19"
77,43.8838,-6.4688,601.5,0,0,"N19"
78,43.7978,-6.5938,139,0,0,"N19"
79,43.7212,-6.4233,132,0,0,"N19"
80,43.7604,-6.3026,217,0,0,"N19"
81,43.6917,-6.2814,134,0,0,"N19"
82,43.8431,-6.211,407.5,0,0,"N19"
83,43.7699,-6.0799,221.5,0,0,"N19"
84,43.596,-6.1038,57,4627.7145811789,18,"N19"
85,43.687,-6.0842,116,0,0,"N19"
86,43.8428,-5.7832,168,0,0,"N19"
87,43.8933,-5.5979,288,0,0,"N19"
88,43.9326,-5.5452,578,0,0,"N19"
89,43.8721,-5.377,295,0,0,"N19"
90,43.7608,-5.378,154.5,0,0,"N19"
91,43.793,-5.5493,162,0,0,"N19"
92,43.6977,-5.5221,141.5,0,0,"N19"
93,43.6646,-5.6546,96,0,0,"N19"
94,43.633,-5.4031,116,0,0,"N19"
95,43.7055,-5.1869,150.5,0,0,"N19"
96,43.782,-5.0448,440.5,0,0,"N19"
97,43.8189,-5.0212,602,0,0,"N19"
98,43.7352,-5.0076,182.5,0,0,"N19"
99,43.637,-4.9936,387.5,0,0,"N19"
100,43.6497,-4.8064,175,0,0,"N19"
101,43.5747,-4.8475,141,0,0,"N19"
102,43.4813,-4.729,97.5,1435.367114788,4,"N19"
103,43.5147,-4.5391,260.5,0,0,"N19"
104,43.641,-4.5621,195,0,0,"N19"
105,43.7005,-4.5016,524,0,0,"N19"
106,43.4654,-4.3183,116.5,0,0,"N19"
107,43.5487,-4.261,161.5,0,0,"N19"
108,43.4684,-4.1255,84,0,0,"N19"
109,43.5525,-3.8762,114,0,0,"N19"
110,43.513,-3.7382,46.5,4715,14,"N19"
111,43.643,-3.7809,182,0,0,"N19"
112,43.6688,-3.7708,248.5,0,0,"N19"
113,43.6921,-3.8241,618.5,0,0,"N19"
114,43.3979,-2.2979,106.5,0,0,"N19"
115,43.3775,-2.2409,99.5,396,1,"N19"
116,43.4395,-2.2146,136,0,0,"N19"
117,43.4569,-2.3189,133.5,0,0,"N19"
118,43.3681,-2.0405,99.5,1769.31949250288,5,"N19"
119,43.5619,-1.9082,152,432,1,"N19"
120,43.528,-2.0396,173.5,0,0,"N19"
121,43.4977,-2.2043,153.5,0,0,"N19"
122,43.5546,-2.2196,355,0,0,"N19"
123,43.5983,-2.2694,540,0,0,"N19"
124,43.5587,-2.578,232,0,0,"N19"
125,43.5924,-2.6646,298.5,0,0,"N19"
126,43.5153,-2.8952,129,4762,10,"N19"
127,43.4566,-3.3724,40,1578,5,"N19"
128,43.4718,-3.3285,75.5,5155,9,"N19"
129,43.5716,-3.3072,176.5,302,1,"N19"
130,43.5922,-3.0765,219,0,0,"N19"
