"","gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"1","1"," 51",1,42.2266,-8.9734,101,40,1,"N01","Micromesistius poutassou"
"2","1"," 51",2,42.1439,-9.0754,135.5,2885,65,"N01","Micromesistius poutassou"
"3","1"," 51",3,42.079,-8.9864,105.5,2080,44,"N01","Micromesistius poutassou"
"4","1"," 51",4,42.0401,-9.1326,139,91475,2067,"N01","Micromesistius poutassou"
"5","1"," 51",5,41.9888,-9.3095,173,8300,196,"N01","Micromesistius poutassou"
"6","1"," 51",6,42.0679,-9.3575,230.5,1896,42,"N01","Micromesistius poutassou"
"7","1"," 51",7,42.1199,-9.2749,186,11700,253,"N01","Micromesistius poutassou"
"8","1"," 51",8,42.392,-9.0272,95,40550,941,"N01","Micromesistius poutassou"
"9","1"," 51",9,42.3633,-9.1359,136,20850,492,"N01","Micromesistius poutassou"
"10","1"," 51",10,42.2639,-9.093,138.5,72650,1555,"N01","Micromesistius poutassou"
"11","1"," 51",11,42.1928,-9.1688,154,22900,545,"N01","Micromesistius poutassou"
"12","1"," 51",12,42.2866,-9.3449,240.5,88200,2134,"N01","Micromesistius poutassou"
"13","1"," 51",13,42.2991,-9.4555,532.5,51600,588,"N01","Micromesistius poutassou"
"14","1"," 51",14,42.4769,-9.3661,263,374000,8826,"N01","Micromesistius poutassou"
"15","1"," 51",15,42.5311,-9.2909,133,11350,293,"N01","Micromesistius poutassou"
"16","1"," 51",16,42.7871,-9.5409,236,5540,142,"N01","Micromesistius poutassou"
"17","1"," 51",17,42.7179,-9.5812,633,715,8,"N01","Micromesistius poutassou"
"18","1"," 51",18,42.697,-9.3125,124,91650,2273,"N01","Micromesistius poutassou"
"19","1"," 51",19,42.6279,-9.3772,139,105650,2536,"N01","Micromesistius poutassou"
"20","1"," 51",20,42.6148,-9.216,102,3405,59,"N01","Micromesistius poutassou"
"21","1"," 51",21,42.8508,-9.4232,151,144900,3651,"N01","Micromesistius poutassou"
"22","1"," 51",22,42.9355,-9.5539,230,119686,2434,"N01","Micromesistius poutassou"
"23","1"," 51",23,43.0445,-9.4171,146,404250,9864,"N01","Micromesistius poutassou"
"24","1"," 51",24,43.4576,-8.8078,149,39350,905,"N01","Micromesistius poutassou"
"25","1"," 51",25,43.51,-8.6939,148.5,26500,604,"N01","Micromesistius poutassou"
"26","1"," 51",26,43.6056,-8.5081,152,32200,784,"N01","Micromesistius poutassou"
"27","1"," 51",27,43.6908,-8.5185,174.5,56450,1487,"N01","Micromesistius poutassou"
"28","1"," 51",28,43.6469,-8.5892,174.5,123350,3002,"N01","Micromesistius poutassou"
"29","1"," 51",29,43.45,-8.5132,106.5,5230,91,"N01","Micromesistius poutassou"
"30","1"," 51",30,43.3882,-8.6458,99.5,7400,107,"N01","Micromesistius poutassou"
"31","1"," 51",31,43.368,-8.7672,94.5,4290,56,"N01","Micromesistius poutassou"
"32","1"," 51",32,43.467,-8.6986,138,44519,997,"N01","Micromesistius poutassou"
"33","1"," 51",33,43.5335,-8.4994,135.5,10481,256,"N01","Micromesistius poutassou"
"34","1"," 51",34,43.0956,-9.5694,246.5,234200,5340,"N01","Micromesistius poutassou"
"35","1"," 51",35,43.2366,-9.5111,260.5,9700,203,"N01","Micromesistius poutassou"
"36","1"," 51",36,43.2073,-9.4157,169,14000,310,"N01","Micromesistius poutassou"
"37","1"," 51",37,43.3573,-9.3787,272,3135,72,"N01","Micromesistius poutassou"
"38","1"," 51",38,43.3171,-9.2675,168.5,404150,9861,"N01","Micromesistius poutassou"
"39","1"," 51",39,43.4278,-9.1943,243.5,11028,288,"N01","Micromesistius poutassou"
"40","1"," 51",40,43.3691,-9.0555,150.5,18820,429,"N01","Micromesistius poutassou"
"41","1"," 51",41,43.4926,-8.9779,175.5,83200,1914,"N01","Micromesistius poutassou"
"42","1"," 51",42,43.5589,-9.0489,300,6790,120,"N01","Micromesistius poutassou"
"43","1"," 51",43,43.7224,-8.384,167.5,374750,9893,"N01","Micromesistius poutassou"
"44","1"," 51",44,43.7732,-8.3018,173,138909,3473,"N01","Micromesistius poutassou"
"45","1"," 51",45,43.9076,-8.1454,187.5,28400,727,"N01","Micromesistius poutassou"
"46","1"," 51",46,43.8407,-7.931,127,2700,4,"N01","Micromesistius poutassou"
"47","1"," 51",47,44.0422,-8.0131,233,93400,2522,"N01","Micromesistius poutassou"
"48","1"," 51",48,43.7897,-7.535,120,19100,340,"N01","Micromesistius poutassou"
"49","1"," 51",49,43.9933,-7.5652,182.5,17400,432,"N01","Micromesistius poutassou"
"50","1"," 51",50,44.0212,-7.3193,184,25600,645,"N01","Micromesistius poutassou"
"51","1"," 51",51,43.9605,-7.2018,175,4300,96,"N01","Micromesistius poutassou"
"52","1"," 51",52,43.9965,-6.9931,185,22050,406,"N01","Micromesistius poutassou"
"53","1"," 51",53,43.8919,-8.724,464,1130,17,"N01","Micromesistius poutassou"
"54","1"," 51",54,44.0436,-8.7125,461.5,915,12,"N01","Micromesistius poutassou"
"55","1"," 51",55,44.0617,-8.4486,332,5210,104,"N01","Micromesistius poutassou"
"56","1"," 51",56,44.0457,-8.2904,296.5,3960,82,"N01","Micromesistius poutassou"
"57","1"," 51",57,43.62,-8.9401,314.5,2020,38,"N01","Micromesistius poutassou"
"58","1"," 51",58,43.6103,-8.7508,179.5,17650,468,"N01","Micromesistius poutassou"
"59","1"," 51",59,43.7822,-8.5979,260,323800,6487,"N01","Micromesistius poutassou"
"60","1"," 51",60,43.8824,-8.5071,282.5,21950,505,"N01","Micromesistius poutassou"
"61","1"," 51",61,43.9518,-8.3582,244.5,12800,299,"N01","Micromesistius poutassou"
"62","1"," 51",62,43.7714,-7.3,136.5,22270,592,"N01","Micromesistius poutassou"
"63","1"," 51",63,43.6925,-7.1845,119.5,14000,271,"N01","Micromesistius poutassou"
"64","1"," 51",64,43.7385,-6.9818,130.5,88900,2189,"N01","Micromesistius poutassou"
"65","1"," 51",65,43.8799,-7.1122,160,3860,77,"N01","Micromesistius poutassou"
"66","1"," 51",66,43.8642,-7.32,155,7785,166,"N01","Micromesistius poutassou"
"67","1"," 51",67,43.6193,-7.0555,104,9000,111,"N01","Micromesistius poutassou"
"68","1"," 51",68,43.7809,-6.9089,139,37550,929,"N01","Micromesistius poutassou"
"69","1"," 51",69,43.9697,-6.7613,292,21950,602,"N01","Micromesistius poutassou"
"72","1"," 51",72,43.7929,-6.1029,222,7475,239,"N01","Micromesistius poutassou"
"73","1"," 51",73,43.7592,-6.2735,258,1815,33,"N01","Micromesistius poutassou"
"74","1"," 51",74,43.6898,-6.2832,135,2725,61,"N01","Micromesistius poutassou"
"75","1"," 51",75,43.8838,-6.4713,553.5,490,6,"N01","Micromesistius poutassou"
