"gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"1"," 51",1,42.0687,-8.9927,104,136850,3923,"N05","Micromesistius poutassou"
"1"," 51",2,41.9799,-9.3023,162,5620,165,"N05","Micromesistius poutassou"
"1"," 51",3,41.9644,-9.0479,112,93880,2566,"N05","Micromesistius poutassou"
"1"," 51",4,42.1431,-9.0754,134.5,489345,14436,"N05","Micromesistius poutassou"
"1"," 51",5,42.0605,-9.354,224,262700,7618,"N05","Micromesistius poutassou"
"1"," 51",6,42.1145,-9.2775,187,457600,12813,"N05","Micromesistius poutassou"
"1"," 51",7,42.0337,-9.1395,139,92800,2722,"N05","Micromesistius poutassou"
"1"," 51",8,42.2283,-8.9736,101,89050,2427,"N05","Micromesistius poutassou"
"1"," 51",9,42.1968,-9.166,151,151350,4313,"N05","Micromesistius poutassou"
"1"," 51",10,42.2841,-9.3468,241,80550,2215,"N05","Micromesistius poutassou"
"1"," 51",11,42.2929,-9.4565,571,2383.33333333333,13,"N05","Micromesistius poutassou"
"1"," 51",12,42.3051,-9.2407,185.5,585600,16982,"N05","Micromesistius poutassou"
"1"," 51",13,42.3732,-9.17,144.5,208400,5835,"N05","Micromesistius poutassou"
"1"," 51",14,42.5175,-9.2915,134,18400,543,"N05","Micromesistius poutassou"
"1"," 51",15,42.6161,-9.2172,102.5,53500,1605,"N05","Micromesistius poutassou"
"1"," 51",16,42.5353,-9.3994,244.5,22300,569,"N05","Micromesistius poutassou"
"1"," 51",17,42.7028,-9.3694,132,187150,5989,"N05","Micromesistius poutassou"
"1"," 51",18,42.7162,-9.5782,593,333.978702807357,1,"N05","Micromesistius poutassou"
"1"," 51",19,42.7908,-9.5379,230,32150,948,"N05","Micromesistius poutassou"
"1"," 51",20,42.8152,-9.2871,115,131435,3910,"N05","Micromesistius poutassou"
"1"," 51",21,42.8571,-9.4271,155,31150,958,"N05","Micromesistius poutassou"
"1"," 51",22,42.9423,-9.5557,227,27550,792,"N05","Micromesistius poutassou"
"1"," 51",23,43.0425,-9.4162,144,78090,2323,"N05","Micromesistius poutassou"
"1"," 51",24,43.1989,-9.4264,169,38050,1256,"N05","Micromesistius poutassou"
