"gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"1"," 51",1,42.0601,-8.9915,102.5,5760,169,"N16","Micromesistius poutassou"
"1"," 51",2,41.9703,-9.0402,112.5,3395,97,"N16","Micromesistius poutassou"
"1"," 51",3,42.0382,-9.1284,136.5,1325,27,"N16","Micromesistius poutassou"
"1"," 51",4,41.9792,-9.3118,171,7025,111,"N16","Micromesistius poutassou"
"1"," 51",6,42.108,-9.2831,186,13050,232,"N16","Micromesistius poutassou"
"1"," 51",7,42.0533,-9.3555,227,166250,3784,"N16","Micromesistius poutassou"
"1"," 51",8,42.5264,-9.3926,241,159669.079627715,2996,"N16","Micromesistius poutassou"
"1"," 51",9,42.2647,-9.4618,562.5,28732.1830457614,179,"N16","Micromesistius poutassou"
"1"," 51",10,42.2851,-9.3472,240,13990,338,"N16","Micromesistius poutassou"
"1"," 51",11,42.3709,-9.1707,145.5,20650,520,"N16","Micromesistius poutassou"
"1"," 51",12,42.1506,-9.067,135,18300,421,"N16","Micromesistius poutassou"
"1"," 51",13,42.1834,-9.1758,156,97600,1919,"N16","Micromesistius poutassou"
"1"," 51",14,42.2673,-9.1092,137,24720,327,"N16","Micromesistius poutassou"
"1"," 51",15,42.2284,-8.9739,101.5,24580,709,"N16","Micromesistius poutassou"
"1"," 51",16,42.5184,-9.2912,133,8750,193,"N16","Micromesistius poutassou"
"1"," 51",17,42.6135,-9.219,102.5,3260,86,"N16","Micromesistius poutassou"
"1"," 51",18,42.7008,-9.3627,130,8261,232,"N16","Micromesistius poutassou"
"1"," 51",19,42.7165,-9.5766,550,5097.52438109527,23,"N16","Micromesistius poutassou"
"1"," 51",20,42.7948,-9.5392,234.5,217150,5929,"N16","Micromesistius poutassou"
"1"," 51",21,42.8473,-9.4264,154.5,10100,252,"N16","Micromesistius poutassou"
"1"," 51",22,42.9313,-9.5565,232,170800,4059,"N16","Micromesistius poutassou"
"1"," 51",23,43.0408,-9.4262,146.5,698350,23046,"N16","Micromesistius poutassou"
"1"," 51",24,43.086,-9.5707,247,535700,14642,"N16","Micromesistius poutassou"
"1"," 51",25,43.2037,-9.424,170,131700,2991,"N16","Micromesistius poutassou"
"1"," 51",26,43.2407,-9.5142,270.5,354800,7103,"N16","Micromesistius poutassou"
"1"," 51",27,43.35,-9.3907,267,954300,23456,"N16","Micromesistius poutassou"
"1"," 51",28,43.2975,-9.2978,168,655606,19131,"N16","Micromesistius poutassou"
"1"," 51",29,43.446,-8.833,152,49200,744,"N16","Micromesistius poutassou"
"1"," 51",30,43.4731,-8.6838,141.5,43550,760,"N16","Micromesistius poutassou"
"1"," 51",31,43.3899,-8.6418,101.5,4905,70,"N16","Micromesistius poutassou"
"1"," 51",32,43.3733,-8.7669,97.5,6540,113,"N16","Micromesistius poutassou"
"1"," 51",33,43.2495,-9.116,96,14350,273,"N16","Micromesistius poutassou"
"1"," 51",34,43.3746,-9.0527,154,209777.347531462,5428,"N16","Micromesistius poutassou"
"1"," 51",35,43.4866,-8.9772,174,253700,5074,"N16","Micromesistius poutassou"
"1"," 51",36,43.539,-9.0849,295.5,681000,10139,"N16","Micromesistius poutassou"
"1"," 51",37,43.6098,-8.9089,244,69500,1876,"N16","Micromesistius poutassou"
"1"," 51",39,43.7775,-8.8324,546,2055.51387846962,13,"N16","Micromesistius poutassou"
"1"," 51",40,43.7059,-8.7286,287,7450,119,"N16","Micromesistius poutassou"
"1"," 51",42,44.047,-8.7144,455,14700,112,"N16","Micromesistius poutassou"
"1"," 51",43,44.0325,-8.5775,355,74700,1000,"N16","Micromesistius poutassou"
"1"," 51",44,44.0641,-8.4482,333,16214.90803485,169,"N16","Micromesistius poutassou"
"1"," 51",45,43.9764,-8.6433,430,14994.829369183,184,"N16","Micromesistius poutassou"
"1"," 51",46,43.8929,-8.685,433,17450,252,"N16","Micromesistius poutassou"
"1"," 51",47,43.8778,-8.5134,282,462400,10447,"N16","Micromesistius poutassou"
"1"," 51",48,43.95,-8.357,242,131750,2526,"N16","Micromesistius poutassou"
"1"," 51",49,43.839,-7.9122,127,29300,521,"N16","Micromesistius poutassou"
"1"," 51",50,44.0213,-7.8236,198.5,16950,373,"N16","Micromesistius poutassou"
"1"," 51",51,44.0329,-8.0477,224.5,31150,871,"N16","Micromesistius poutassou"
"1"," 51",52,44.0486,-8.2458,292.5,87750,1266,"N16","Micromesistius poutassou"
"1"," 51",53,43.9074,-8.1489,186,19250,350,"N16","Micromesistius poutassou"
"1"," 51",54,43.806,-8.2971,175.5,31850,577,"N16","Micromesistius poutassou"
"1"," 51",55,43.7212,-8.39,165.5,84591.5201654602,2484,"N16","Micromesistius poutassou"
"1"," 51",56,43.8188,-8.3886,192.5,18500,452,"N16","Micromesistius poutassou"
"1"," 51",57,43.5488,-8.7516,159.5,54500,1008,"N16","Micromesistius poutassou"
"1"," 51",59,43.5334,-8.5043,135.5,44939.0815370197,823,"N16","Micromesistius poutassou"
"1"," 51",60,43.6066,-8.4996,153.5,27750,466,"N16","Micromesistius poutassou"
"1"," 51",61,43.6279,-8.6012,166,160200,3105,"N16","Micromesistius poutassou"
"1"," 51",62,43.6891,-8.5259,172,52450,1181,"N16","Micromesistius poutassou"
"1"," 51",63,43.7875,-7.5219,121.5,8049.37076476283,136,"N16","Micromesistius poutassou"
"1"," 51",64,43.9965,-7.5598,182.5,20950,595,"N16","Micromesistius poutassou"
"1"," 51",65,44.0898,-7.551,493,8997.63220205209,80,"N16","Micromesistius poutassou"
"1"," 51",66,44.0321,-7.3491,190,15600,312,"N16","Micromesistius poutassou"
"1"," 51",67,43.9609,-7.1967,175.5,95050,2557,"N16","Micromesistius poutassou"
"1"," 51",68,43.8919,-7.1214,160.5,253800,7970,"N16","Micromesistius poutassou"
"1"," 51",69,43.8661,-7.3136,154,44100,996,"N16","Micromesistius poutassou"
"1"," 51",70,43.6755,-7.1663,116.5,9670,193,"N16","Micromesistius poutassou"
"1"," 51",71,43.6189,-7.0537,104,9945,148,"N16","Micromesistius poutassou"
"1"," 51",72,43.7382,-6.9782,128.5,77400,2182,"N16","Micromesistius poutassou"
"1"," 51",73,43.7861,-6.9041,137.5,82650,2503,"N16","Micromesistius poutassou"
"1"," 51",74,43.998,-7.0053,186,363150,11486,"N16","Micromesistius poutassou"
"1"," 51",75,43.9701,-6.7545,301,460750,5943,"N16","Micromesistius poutassou"
"1"," 51",76,43.8875,-6.5282,217.5,239000,4558,"N16","Micromesistius poutassou"
