"gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"1"," 51",1,42.059,-8.9902,103,46700,1401,"N02","Micromesistius poutassou"
"1"," 51",2,41.9892,-9.3097,170.5,182862.039417309,5793,"N02","Micromesistius poutassou"
"1"," 51",3,42.0268,-9.14,136,42550,1461,"N02","Micromesistius poutassou"
"1"," 51",4,41.974,-9.0441,115,74782.1878025169,2667,"N02","Micromesistius poutassou"
"1"," 51",5,42.2215,-8.9708,100,74825,2270,"N02","Micromesistius poutassou"
"1"," 51",6,42.2646,-9.1052,135.5,212850,6300,"N02","Micromesistius poutassou"
"1"," 51",8,42.1505,-9.0669,133.5,107345,3408,"N02","Micromesistius poutassou"
"1"," 51",9,42.0594,-9.3565,225,170850,6102,"N02","Micromesistius poutassou"
"1"," 51",10,42.1227,-9.2736,186,13908.9968976215,473,"N02","Micromesistius poutassou"
"1"," 51",11,42.1929,-9.1701,152,195659.163987138,6115,"N02","Micromesistius poutassou"
"1"," 51",12,42.2824,-9.4619,583.5,18025,128,"N02","Micromesistius poutassou"
"1"," 51",13,42.2826,-9.3462,237.5,20800,700,"N02","Micromesistius poutassou"
"1"," 51",14,42.3747,-9.1716,143.5,700400,24164,"N02","Micromesistius poutassou"
"1"," 51",15,42.5169,-9.2916,133.5,153250,6398,"N02","Micromesistius poutassou"
"1"," 51",16,42.5304,-9.3956,236,258600,9827,"N02","Micromesistius poutassou"
"1"," 51",17,42.6145,-9.2171,101,68300,2436,"N02","Micromesistius poutassou"
"1"," 51",18,42.6999,-9.3618,130.5,612900,24305,"N02","Micromesistius poutassou"
"1"," 51",20,42.7934,-9.54,236,2768,105,"N02","Micromesistius poutassou"
"1"," 51",21,42.8543,-9.4243,154.5,27150,1077,"N02","Micromesistius poutassou"
"1"," 51",22,42.943,-9.5594,252.5,36500,1375,"N02","Micromesistius poutassou"
"1"," 51",23,43.0459,-9.4178,144,67950,2695,"N02","Micromesistius poutassou"
"1"," 51",24,43.0871,-9.5673,241.5,87693.898655636,3157,"N02","Micromesistius poutassou"
"1"," 51",25,43.2338,-9.5114,259,22450,674,"N02","Micromesistius poutassou"
"1"," 51",26,43.2079,-9.4182,170,175500,5827,"N02","Micromesistius poutassou"
"1"," 51",27,43.3026,-9.2865,169.5,56500,1424,"N02","Micromesistius poutassou"
"1"," 51",28,43.3552,-9.3855,271,4840,151,"N02","Micromesistius poutassou"
"1"," 51",29,44.104,-8.9382,692.5,450,2,"N02","Micromesistius poutassou"
"1"," 51",30,43.9809,-8.6344,422,1011.61665053243,19,"N02","Micromesistius poutassou"
"1"," 51",31,43.8789,-8.513,283.5,9300,319,"N02","Micromesistius poutassou"
"1"," 51",32,43.895,-8.6788,434.5,680,20,"N02","Micromesistius poutassou"
"1"," 51",33,44.0321,-8.5877,375.5,6420,141,"N02","Micromesistius poutassou"
"1"," 51",34,43.6835,-8.8673,640.5,10,1,"N02","Micromesistius poutassou"
"1"," 51",35,43.6131,-8.9062,246.5,12975,434,"N02","Micromesistius poutassou"
"1"," 51",36,43.539,-9.0852,297,7500,145,"N02","Micromesistius poutassou"
"1"," 51",37,43.4862,-8.9717,174.5,17110,565,"N02","Micromesistius poutassou"
"1"," 51",39,43.3738,-9.0505,151,36850,1314,"N02","Micromesistius poutassou"
"1"," 51",40,43.4548,-8.8152,149.5,23160,741,"N02","Micromesistius poutassou"
"1"," 51",41,43.7035,-8.7337,291,11300,220,"N02","Micromesistius poutassou"
"1"," 51",42,43.5491,-8.75,162,27686.3504356244,1107,"N02","Micromesistius poutassou"
"1"," 51",43,43.84,-7.9071,129,25050,507,"N02","Micromesistius poutassou"
"1"," 51",44,43.9068,-8.1479,186,7900,361,"N02","Micromesistius poutassou"
"1"," 51",45,44.0307,-8.0492,221.5,8400,339,"N02","Micromesistius poutassou"
"1"," 51",46,44.049,-8.2444,293,5350,141,"N02","Micromesistius poutassou"
"1"," 51",47,44.0655,-8.4444,334,2690,63,"N02","Micromesistius poutassou"
"1"," 51",48,43.9497,-8.3565,242.5,26400,1118,"N02","Micromesistius poutassou"
