"gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"1"," 51",1,42.2278,-8.9717,102,3270,62,"N07","Micromesistius poutassou"
"1"," 51",2,42.1544,-9.0739,136.5,6920,116,"N07","Micromesistius poutassou"
"1"," 51",3,42.0568,-9.1289,140,210,1,"N07","Micromesistius poutassou"
"1"," 51",6,41.9859,-9.3059,168.5,20850,509,"N07","Micromesistius poutassou"
"1"," 51",7,42.062,-9.3554,227.5,890,10,"N07","Micromesistius poutassou"
"1"," 51",8,42.2519,-9.0951,132.5,1371950,30183,"N07","Micromesistius poutassou"
"1"," 51",9,42.194,-9.1681,152,3225,64,"N07","Micromesistius poutassou"
"1"," 51",10,42.1181,-9.2766,186,8460,117,"N07","Micromesistius poutassou"
"1"," 51",12,42.2809,-9.3455,239,7690,102,"N07","Micromesistius poutassou"
"1"," 51",13,42.3745,-9.1727,145,1277,26,"N07","Micromesistius poutassou"
"1"," 51",14,42.5326,-9.3985,245,57000,1203,"N07","Micromesistius poutassou"
"1"," 51",15,42.5116,-9.2748,130.5,350,7,"N07","Micromesistius poutassou"
"1"," 51",16,42.6197,-9.2174,102.5,85,2,"N07","Micromesistius poutassou"
"1"," 51",17,42.7025,-9.3659,133,360,9,"N07","Micromesistius poutassou"
"1"," 51",18,42.8263,-9.2925,111.5,79290,2630,"N07","Micromesistius poutassou"
"1"," 51",19,42.7975,-9.54,237,15950,337,"N07","Micromesistius poutassou"
"1"," 51",20,42.8666,-9.4284,156.5,410,10,"N07","Micromesistius poutassou"
"1"," 51",21,42.9467,-9.5566,236,1225,22,"N07","Micromesistius poutassou"
"1"," 51",22,43.0464,-9.4174,151,240,4,"N07","Micromesistius poutassou"
"1"," 51",23,43.0816,-9.5666,240.5,11200,94,"N07","Micromesistius poutassou"
"1"," 51",24,43.2546,-9.5031,265.5,18705,235,"N07","Micromesistius poutassou"
"1"," 51",25,43.2053,-9.4267,170.5,3055,41,"N07","Micromesistius poutassou"
"1"," 51",26,43.3558,-9.3845,272,2905,27,"N07","Micromesistius poutassou"
"1"," 51",27,43.3174,-9.2705,169.5,39600,693,"N07","Micromesistius poutassou"
"1"," 51",28,43.2518,-9.1136,99.5,16350,270,"N07","Micromesistius poutassou"
"1"," 51",29,43.4525,-9.1684,263,11650,119,"N07","Micromesistius poutassou"
"1"," 51",30,43.5481,-9.0724,296,3975,71,"N07","Micromesistius poutassou"
"1"," 51",31,43.4479,-8.9758,161,22100,804,"N07","Micromesistius poutassou"
"1"," 51",32,43.3773,-9.059,155.5,11450,324,"N07","Micromesistius poutassou"
"1"," 51",33,43.4883,-8.8635,156.5,26700,887,"N07","Micromesistius poutassou"
"1"," 51",34,43.6769,-8.8791,535,2299.3248312078,26,"N07","Micromesistius poutassou"
"1"," 51",35,43.6271,-8.9338,305.5,1000,12,"N07","Micromesistius poutassou"
"1"," 51",36,43.7045,-8.7321,290,5675,63,"N07","Micromesistius poutassou"
"1"," 51",37,43.8909,-8.6851,435,3260,27,"N07","Micromesistius poutassou"
"1"," 51",38,44.1061,-8.9382,690,438.859714928732,2,"N07","Micromesistius poutassou"
"1"," 51",39,44.0464,-8.7175,460,24750,194,"N07","Micromesistius poutassou"
"1"," 51",40,43.9742,-8.5556,353,495,6,"N07","Micromesistius poutassou"
"1"," 51",41,44.0632,-8.4442,332,6620,54,"N07","Micromesistius poutassou"
"1"," 51",42,44.0473,-8.2644,294,2500,76,"N07","Micromesistius poutassou"
"1"," 51",43,44.0405,-8.0286,233,19850,107,"N07","Micromesistius poutassou"
