"gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"1"," 51",1,42.2294,-8.9741,101.5,950,13,"N06","Micromesistius poutassou"
"1"," 51",2,42.0465,-9.1276,136.5,25400,804,"N06","Micromesistius poutassou"
"1"," 51",3,41.9785,-9.0387,114.5,1270,35,"N06","Micromesistius poutassou"
"1"," 51",4,42.0667,-8.9914,104.5,1430,44,"N06","Micromesistius poutassou"
"1"," 51",5,41.9808,-9.3151,176,61250,2307,"N06","Micromesistius poutassou"
"1"," 51",6,42.0541,-9.3536,227,18250,578,"N06","Micromesistius poutassou"
"1"," 51",7,42.1204,-9.2774,194,151850,5517,"N06","Micromesistius poutassou"
"1"," 51",8,42.1446,-9.0663,138.5,53000,1661,"N06","Micromesistius poutassou"
"1"," 51",9,42.1986,-9.1654,155,12550,406,"N06","Micromesistius poutassou"
"1"," 51",10,42.283,-9.4618,629,1796.6991747937,12,"N06","Micromesistius poutassou"
"1"," 51",11,42.2786,-9.3474,246.5,25800,843,"N06","Micromesistius poutassou"
"1"," 51",12,42.2691,-9.1105,137.5,43800,1372,"N06","Micromesistius poutassou"
"1"," 51",13,42.3691,-9.1683,143.5,5015,150,"N06","Micromesistius poutassou"
"1"," 51",14,42.5328,-9.3984,244,7105,173,"N06","Micromesistius poutassou"
"1"," 51",15,42.6248,-9.2158,104,111165,4039,"N06","Micromesistius poutassou"
"1"," 51",16,42.503,-9.2856,139.5,39750,1391,"N06","Micromesistius poutassou"
"1"," 51",17,42.6997,-9.3657,130.5,6240,233,"N06","Micromesistius poutassou"
"1"," 51",18,42.725,-9.5832,632,300.075018754689,3,"N06","Micromesistius poutassou"
"1"," 51",19,42.7934,-9.5409,239,4655,99,"N06","Micromesistius poutassou"
"1"," 51",20,42.8209,-9.2898,115,132800,4737,"N06","Micromesistius poutassou"
"1"," 51",21,42.8599,-9.426,156.5,73700,2948,"N06","Micromesistius poutassou"
"1"," 51",22,42.9458,-9.556,230,15600,577,"N06","Micromesistius poutassou"
"1"," 51",23,43.0445,-9.4142,142,180150,7266,"N06","Micromesistius poutassou"
"1"," 51",24,43.0785,-9.5656,236.5,10065,453,"N06","Micromesistius poutassou"
"1"," 51",25,43.2488,-9.5045,262,8150,122,"N06","Micromesistius poutassou"
"1"," 51",26,43.2017,-9.4262,171.5,78550,3299,"N06","Micromesistius poutassou"
"1"," 51",27,43.251,-9.1138,93,10750,362,"N06","Micromesistius poutassou"
"1"," 51",28,43.363,-8.7645,88,12905,404,"N06","Micromesistius poutassou"
"1"," 51",29,43.4396,-8.5038,98.5,3610,111,"N06","Micromesistius poutassou"
"1"," 51",30,43.5329,-8.5093,137,70250,2904,"N06","Micromesistius poutassou"
"1"," 51",31,43.612,-8.5054,160,12000,396,"N06","Micromesistius poutassou"
"1"," 51",32,43.7139,-8.3898,164.5,4590,205,"N06","Micromesistius poutassou"
"1"," 51",33,43.7259,-8.2551,141.5,34000,1791,"N06","Micromesistius poutassou"
"1"," 51",34,43.3571,-9.3832,271.5,147060,7304,"N06","Micromesistius poutassou"
"1"," 51",35,43.3277,-9.2798,173.5,33400,1325,"N06","Micromesistius poutassou"
"1"," 51",36,43.3764,-9.059,154.5,19350,768,"N06","Micromesistius poutassou"
"1"," 51",37,43.4535,-9.1699,266.5,2650,66,"N06","Micromesistius poutassou"
"1"," 51",38,43.5512,-9.0702,299.5,14300,653,"N06","Micromesistius poutassou"
"1"," 51",39,43.4502,-8.978,160.5,151980,7143,"N06","Micromesistius poutassou"
"1"," 51",40,43.6257,-8.8951,255,82800,4416,"N06","Micromesistius poutassou"
"1"," 51",41,43.6803,-8.8596,548.5,1380.34508627157,39,"N06","Micromesistius poutassou"
"1"," 51",42,43.7079,-8.7271,290.5,106450,5110,"N06","Micromesistius poutassou"
"1"," 51",44,44.0471,-8.718,458,4300,69,"N06","Micromesistius poutassou"
"1"," 51",45,43.9652,-8.654,444,11280,387,"N06","Micromesistius poutassou"
"1"," 51",46,43.8986,-8.6777,436,4140,81,"N06","Micromesistius poutassou"
"1"," 51",47,43.8897,-8.5059,287,8300,271,"N06","Micromesistius poutassou"
"1"," 51",48,44.0766,-8.4533,337,1270,24,"N06","Micromesistius poutassou"
"1"," 51",49,43.9843,-8.4045,244,2200,115,"N06","Micromesistius poutassou"
"1"," 51",50,44.053,-8.263,298.5,1230,42,"N06","Micromesistius poutassou"
"1"," 51",51,44.0384,-8.0282,230.5,5170,241,"N06","Micromesistius poutassou"
"1"," 51",52,43.7878,-7.5312,117.5,430,6,"N06","Micromesistius poutassou"
"1"," 51",53,43.9664,-7.6463,163,58700,4226,"N06","Micromesistius poutassou"
"1"," 51",54,43.8911,-7.8626,158,309930,23968,"N06","Micromesistius poutassou"
"1"," 51",55,43.9111,-8.1395,188.5,304900,22054,"N06","Micromesistius poutassou"
"1"," 51",56,43.8135,-8.293,179,35650,2246,"N06","Micromesistius poutassou"
"1"," 51",57,43.8195,-8.3881,191,167800,9565,"N06","Micromesistius poutassou"
"1"," 51",58,43.6951,-8.5173,173.5,368380,20875,"N06","Micromesistius poutassou"
"1"," 51",59,43.6266,-8.5911,165,511616,28992,"N06","Micromesistius poutassou"
"1"," 51",60,43.5487,-8.7527,160.5,345000,20240,"N06","Micromesistius poutassou"
"1"," 51",61,43.4507,-8.8277,152,180850,7415,"N06","Micromesistius poutassou"
"1"," 51",62,43.3927,-8.6483,100.5,26250,998,"N06","Micromesistius poutassou"
