"gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"1"," 51",1,42.2318,-8.9748,100.5,104200,3508,"N03","Micromesistius poutassou"
"1"," 51",2,42.1942,-9.1679,152.5,4430,204,"N03","Micromesistius poutassou"
"1"," 51",3,42.2862,-9.3451,240.5,8890,308,"N03","Micromesistius poutassou"
"1"," 51",4,42.1509,-9.0693,133,51600,1729,"N03","Micromesistius poutassou"
"1"," 51",5,42.0675,-9.3575,229.5,2685,65,"N03","Micromesistius poutassou"
"1"," 51",6,41.9892,-9.3153,175.5,146010,5110,"N03","Micromesistius poutassou"
"1"," 51",7,41.9635,-9.0505,117,189850,6898,"N03","Micromesistius poutassou"
"1"," 51",8,42.0725,-8.9855,103,11800,389,"N03","Micromesistius poutassou"
"1"," 51",10,42.1224,-9.274,186.5,10150,342,"N03","Micromesistius poutassou"
"1"," 51",11,42.2665,-9.1077,141.5,75800,2830,"N03","Micromesistius poutassou"
"1"," 51",12,42.3668,-9.1382,139,84800,3138,"N03","Micromesistius poutassou"
"1"," 51",13,42.6302,-9.216,102.5,53700,1880,"N03","Micromesistius poutassou"
"1"," 51",14,42.5193,-9.2652,124,21345.5953533398,761,"N03","Micromesistius poutassou"
"1"," 51",15,42.5221,-9.3913,244,22000,576,"N03","Micromesistius poutassou"
"1"," 51",16,42.8028,-9.555,279,2635,61,"N03","Micromesistius poutassou"
"1"," 51",17,42.8566,-9.4278,157.5,277800,11760,"N03","Micromesistius poutassou"
"1"," 51",18,42.8239,-9.2863,114.5,161650,6412,"N03","Micromesistius poutassou"
"1"," 51",19,42.6988,-9.3585,131.5,63950,2516,"N03","Micromesistius poutassou"
"1"," 51",20,42.931,-9.558,234,10858.3247156153,331,"N03","Micromesistius poutassou"
"1"," 51",21,43.0406,-9.4186,143.5,132600,4774,"N03","Micromesistius poutassou"
"1"," 51",22,43.0841,-9.5694,245.5,9000,236,"N03","Micromesistius poutassou"
"1"," 51",23,43.2518,-9.1121,100.5,131650,3555,"N03","Micromesistius poutassou"
"1"," 51",24,43.2142,-9.4031,169,177350,6148,"N03","Micromesistius poutassou"
"1"," 51",25,43.2423,-9.5136,272,59750,1479,"N03","Micromesistius poutassou"
"1"," 51",26,43.306,-9.2851,169.5,129200,4134,"N03","Micromesistius poutassou"
"1"," 51",27,43.3636,-9.3761,277.5,24950,773,"N03","Micromesistius poutassou"
"1"," 51",28,43.4348,-9.2013,263.5,157850,4645,"N03","Micromesistius poutassou"
"1"," 51",29,43.5498,-9.0674,295,19550,499,"N03","Micromesistius poutassou"
"1"," 51",30,43.4472,-8.9781,162.5,131450,4250,"N03","Micromesistius poutassou"
"1"," 51",31,43.3748,-9.0593,155.5,101050,3003,"N03","Micromesistius poutassou"
"1"," 51",32,43.6138,-8.9065,250.5,35100,936,"N03","Micromesistius poutassou"
"1"," 51",33,43.6797,-8.8607,546,843.960990247562,14,"N03","Micromesistius poutassou"
"1"," 51",34,43.7147,-8.722,296.5,5090,100,"N03","Micromesistius poutassou"
"1"," 51",36,44.0457,-8.7158,460,10250,110,"N03","Micromesistius poutassou"
"1"," 51",37,43.9618,-8.561,363.5,3220,64,"N03","Micromesistius poutassou"
"1"," 51",38,43.889,-8.6918,437,2145,40,"N03","Micromesistius poutassou"
"1"," 51",39,44.0424,-8.0112,231,36000,1344,"N03","Micromesistius poutassou"
"1"," 51",40,44.0484,-8.2424,291.5,13750,323,"N03","Micromesistius poutassou"
"1"," 51",41,44.076,-8.4475,338,2545,61,"N03","Micromesistius poutassou"
"1"," 51",42,43.8821,-8.5047,281.5,3705,78,"N03","Micromesistius poutassou"
"1"," 51",43,43.9976,-7.5707,185,127000,5757,"N03","Micromesistius poutassou"
"1"," 51",44,44.0272,-7.3434,189,93200,4349,"N03","Micromesistius poutassou"
"1"," 51",45,43.8642,-7.3181,156,22300,706,"N03","Micromesistius poutassou"
"1"," 51",46,43.7883,-7.5362,119,4600,105,"N03","Micromesistius poutassou"
"1"," 51",47,43.8377,-7.9178,128,48350,1015,"N03","Micromesistius poutassou"
