"especie","aphia"
"Oxynotus centrina","105914"
"Pagrus caeruleostictus","127062"
"Dipturus oxyrinchus","105872"
"Serranus scriba","127043"
"Lagocephalus sp.","126240"
"Trachinus araneus","127081"
"Sphoeroides pachygaster","127417"
"Pagellus bellottii","127058"
"Deltentosteus sp.","125985"
"Notoscopelus spp.","125831"
"Hygophum hygomii","126603"
"Symbolophorus veranyi","126630"
"Notoscopelus bolini","158913"
"Cyclothone sp.","126187"
"Galeus sp.","105728"
"Remora remora","126853"
"Xiphias gladius","127094"
"Gymnammodytes cicerelus","126753"
"Diaphus dumerilii","126590"
"Avocettina infans","126304"
"Notoscopelus elongatus","158915"
"Pteroplatytrygon violacea","158540"
"Dasyatis centroura","105850"
"Parablennius sanguinolentus","126776"
"Physiculus dalwigki","126498"
"Belone belone","126375"
"Dalophis imberbis","126313"
"Parablennius pilicornis","126773"
"Lampanyctus festivus","126614"
"Diaphus mollis","126595"
"Chaunax pictus","126539"
"Grammicolepis brachiusculus","127420"
"Leucoraja fullonica","105874"
"Epinephelus caninus","127033"
"Thunnus thynnus","127029"
"Remora osteochir","126852"
"Polyprion americanus","126998"
"Minyichthys sentus","127382"
"Congridae","125427"
"Trachinotus ovatus","126819"
"Leucoraja melitensis","105875"
"Howella atlantica","1011297"
"Argyropelecus aculeatus","127306"
"Lepidorhombus sp.","126122"
"Gobius gasteveni","126890"
"Lesueurigobius friesii","126904"
"Gnathophis mystax","126287"
"Lobianchia gemellarii","158901"
"Monochirus hispidus","127155"
"Ophidion barbatum","126675"
"Mugil cephalus","126983"
"Brachydeuterus auritus","126943"
"Somniosus rostratus","105920"
"Cyttopsis roseus","159433"
"Gadella maraldi","126488"
"Polymetme corythaeola","127300"
"Moridae","125474"
"Facciolella oxyrhyncha","126307"
"Macrouridae","125471"
"Magnisudis atlantica","126359"
"Pteromylaeus bovinus","105861"
"Torpedo torpedo","271691"
"Gonostoma sp.","126189"
"Gonostomatidae","125601"
"Xenolepidichthys dalgleishi","159432"
"Lophius sp.","125802"
"Diplecogaster bimaculata","126513"
"Monolene microstoma","275922"
"Bathypterois dubius","126342"
"Opisthoproctus grimaldii","126732"
"Vinciguerria poweriae","127304"
"Peristedion cataphractum","127233"
"Epigonus telescopus","126858"
"Spicara maena","126828"
"Spicara flexuosa","302566"
"Squalus blainvillei","217370"
"Trachinus radiatus","127083"
"Trachurus picturatus","126821"
"Trisopterus minutus capelanus","322698"
"Umbrina ronchus","127013"
"Carapus acus","126661"
"Scorpaena elongata","127242"
"Torpedo nobiliana","157868"
"Symphurus nigrescens","127134"
"Microstoma microstoma","126724"
"Hymenocephalus italicus","158961"
"Ophichthus rufus","126316"
"Gobiidae","125537"
"Coryphaenoides guentheri","158958"
"Chauliodus sloani","127338"
"Arctozenus risso","126352"
"Synchiropus phaeton","126798"
"Anthias anthias","127031"
"Myctophum punctatum","126627"
"Ichthyococcus ovatus","127298"
"Epigonus denticulatus","126857"
"Benthosema glaciale","126580"
"Heptranchias perlo","105832"
"Epigonus constanciae","126856"
"Lepadogaster lepadogaster","126518"
"Ariosoma balearicum","126283"
"Arnoglossus rueppelii","127127"
"Ophidion rochei","126676"
"Apterichtus caecus","126312"
"Dactylopterus volitans","127232"
"Gaidropsarus biscayensis","126452"
"Dipturus flossada","711847"
"Callionymus risso","126796"
"Muraena helena","126303"
"Syngnathus acus","127387"
"Echelus myrus","126314"
"Hygophum benoiti","126602"
"Ceratoscopelus maderensis","126585"
"Gonostoma denudatum","127295"
"Schedophilus ovalis","126834"
"Raja radiata","148824"
"Dysomma brevirostre","126321"
"Dentex maroccanus","273966"
"Molva sp.","125744"
"Gonichthys cocco","126601"
"Xenodermichthys copei","126714"
"Benthocometes robustus","126667"
"Balistes capriscus","154721"
"Nemichthydae","125432"
"Stomiiformes","10306"
"Zenopsis conchifer","127426"
"Diaphus holti","126592"
"Microchirus sp.","126129"
"Zenion hololepis","127421"
"Etmopterus pusillus","105912"
"Diaphus rafinesquii","126596"
"Bothus podas","127129"
"Symphurus ligulatus","127133"
"Raja miraletus","105886"
"Benthodesmus simonyi","127087"
"Notacanthus chemnitzii","126643"
"Guttigadus latifrons","158978"
"Belonidae","125451"
"Mustelus mustelus","105822"
"Hygophum sp.","125823"
"Lobianchia dofleini","158900"
"Squalus megalops","105925"
"Rostroraja alba","105896"
"Bonapartia pedaliota","127281"
"Ranzania laevis","127406"
"Gonostoma elongatum","127296"
"Opisthoproctus soleatus","126733"
"Symphodus sp.","126023"
"Pholidae","125550"
"Raja sp.","105766"
"Crystallogobius sp.","125984"
"Trachyscorpia cristulata","127256"
"Parablennius gattorugine","126770"
"Galeus atlanticus","105811"
"Glossanodon leioglossus","126717"
"Liza sp.","126031"
"Deania profundorum","105905"
"Scomber sp.","126063"
"Sphoeroides spengleri","158935"
"Diaphus adenomus","126587"
"Triglidae","125598"
"Lesueurigobius sp.","125992"
"Callionymidae","125522"
"Symphurus sp.","126113"
"Bathophilus vaillanti","127333"
"Ruvettus pretiosus","126867"
"Centrolophidae","125526"
"Microchirus boscanion","274300"
"Synaptura lusitanica","127162"
"Etmopterus princeps","105911"
"Gymnura altavela","105856"
"Trachurus sp.","125946"
"Stromateus fiatola","127076"
"Dicentrarchus punctatus","126976"
"Lobianchia sp.","158899"
"Taractichthys longipinnis","126788"
"Neoraja iberica","398306"
"Raja brachyura","367297"
"Synapturichthys kleinii","236492"
"Trisopterus sp.","125739"
"Solea sp.","126132"
"Scorpaena sp.","126171"
"Argyropelecus sp.","126296"
"Pomatoschistus sp.","125999"
"Hippocampus hippocampus","127380"
"Liza ramada","126980"
"Caranx rhonchus","126806"
"Lepidotrigla dieuzeidei","127265"
"Dentex dentex","273962"
"Beryx sp.","125700"
"Squalus uyato","299235"
"Dentex macrophthalmus","273965"
"Microchirus ocellatus","274302"
"Margrethia obtusirostra","127297"
"Psenes pellucidus","126993"
"Brama brama","126783"
"Belone svetovidovi","126376"
"Hymenocephalus gracilis","272373"
"Valenciennellus tripunctulatus","127316"
"Hippocampus guttulatus","154776"
"Myctophidae","125498"
"Valenciennellus tripunctulatus","127316"
"Photostomias guernei","127372"
"Coccorella atlantica","126337"
"Sarda sarda","127021"
"Symphodus roissali","273573"
"Argyropelecus aculeatus","127306"
"Antigonia capros","127418"
"Diaphus termophilus","126598"
"Naucrates ductor","126811"
"Alpheus glaber","107477"
"Atelecyclus undecimdentatus","197274"
"Bathynectes maravigna","107377"
"Cancer pagurus","107276"
"Cancer bellianus","107275"
"Chlorotocus crassicornis","107642"
"Corystes cassivelaunus","107277"
"Dichelopandalus bonnieri","107643"
"Dromia personata","107258"
"Geryon longipes","107373"
"Goneplax rhomboides","107292"
"Inachus leptochirus","107330"
"Liocarcinus depurator","107387"
"Macropipus tuberculatus","107397"
"Macropodia longipes","107342"
"Maja squinado","107350"
"Munida intermedia","107157"
"Munida sarsi","107163"
"Nephrops norvegicus","107254"
"Palaemon serratus","107616"
"Pagurus prideauxi","208731"
"Pagurus variabilis","148425"
"Parapenaeus longirostris","107109"
"Parapagurus pilosimanus","107248"
"Paromola cuvieri","107264"
"Pasiphaea multidentata","107676"
"Pasiphaea sivado","107677"
"Aegaeon cataphractus","107548"
"Polybius henslowii","107399"
"Polycheles typhlops","107696"
"Pontophilus spinosus","107564"
"Processa canaliculata","107682"
"Rochinia carpenteri","107359"
"Eusergestes arcticus","515738"
"Sergia robusta","107136"
"Solenocera membranacea","107120"
"Xantho poressa","107442"
"Rissoides desmaresti","136135"
"Philocheras sculptus","107561"
"Philocheras echinulatus","107558"
"Galathea sp.","106384"
"Pagurus bernhardus","107232"
"Homarus vulgaris","383056"
"Squilla mantis","136137"
"Medorippe lanata","107288"
"Aegaeon lacazei","107549"
"Penaeus kerathurus","246388"
"Calappa granulata","107268"
"Scyllarus arctus","107709"
"Monodaeus couchii","241154"
"Palinurus elephas","107703"
"Pilumnus spinifer","107420"
"Anapagurus laevis","107218"
"Latreillia sp.","106870"
"Liocarcinus vernalis","107394"
"Ligur ensiferus","107523"
"Euphausia sp.","110673"
"Xantho hydrophilus","107440"
"Phronima sedentaria","103272"
"Pisidia longicornis","107188"
"Alpheus macrocheles","107479"
"Anapagurus longispina","107219"
"Polybiidae","557512"
"Penaeidae","106727"
"Oplophorus spinosus","107602"
"Ethusa mascarone","107283"
"Paguridae","106738"
"Alpheus dentipes","107475"
"Aristeus antennatus","107083"
"Aristaeomorpha foliacea","158326"
"Hadropenaeus affinis","240804"
"Carcinus aestuarii","107380"
"Cestopagurus timidus","107226"
"Crangon crangon","107552"
"Dardanus arrosor","107197"
"Eriphia verrucosa","107409"
"Galathea squamifera","107154"
"Homarus gammarus","107253"
"Inachus dorsettensis","107327"
"Liocarcinus arcuatus","146912"
"Macropodia longirostris","107343"
"Pagurus aculeatus","412283"
"Munida sp.","106835"
"Parthenope massena","107367"
"Heterocarpus ensifer","107644"
"Systellaspis sp.","107027"
"Distolambrus maltzami","442261"
"Pisa armata","107353"
"Galathea dispersa","107148"
"Plesionika heterocarpus","107660"
"Porcellana platycheles","107190"
"Sicyonia carinata","107114"
"Plesionika narval","107662"
"Plesionika edwardsii","107656"
"Plesionika martia","107661"
"Macropodia rostrata","107345"
"Inachus communissimus","107326"
"Penaeopsis serrata","107111"
"Palaemonetes varians","107624"
"Maja sp","106909"
"Plesionika sp.","107046"
"Xantho pilipes","107441"
"Goneplax spp.","106888"
"Processa macrophthalma","107687"
"Bathynectes spp.","106920"
"Anamathia rissoana","441513"
"Paguridae","106738"
"Palinurus mauritanicus","107704"
"Plesionika antigai","107655"
"Homola barbata","107262"
"Ergasticus clouei","107317"
"Pilumnus sp.","106941"
"Processa mediterranea","1310459"
"Spinolambrus macrochelos","442337"
"Munida perarmata","107159"
"Sergestes sp.","106829"
"Plesionika gigliolii","107659"
"Plesionika acanthonotus","107654"
"Acanthephyra pelagica","107581"
"Sergestes vigilax","107133"
"Munida rugosa","107160"
"Bathynectes longipes","107376"
"Philocheras sp.","107010"
"Munida rutllanti","107161"
"Meganyctiphanes sp.","110674"
"Pagurus alatus","107230"
"Inachus thoracicus","107334"
"Meganyctiphanes norvegica","110690"
"Processa sp.","107054"
"Bathynectes superba","582150"
"Pagurus excavatus","107236"
"Inachus sp.","106905"
"Liocarcinus sp.","106925"
"Pinnotheres pisum","107473"
"Liocarcinus bolivari","107385"
"Eurynome aspera","107318"
"Pilumnus villosissimus","107421"
"Lepas anatifera","106149"
"Lepas sp.","106087"
"Xantho sp.","106957"
"Sergestes atlanticus","107127"
"Paguristes oculatus","183515"
"Pisa nodipes","107357"
"Nepinnotheres pinnotheres","107469"
"Acanthephyra purpurea","107582"
"Pseudosquilla sp.","204679"
"Necora puber","107398"
"Processa intermedia","107685"
"Oplophoridae","106786"
"Pontophilus norvegicus","107563"
"Rissoides pallidus","136136"
"Sphaerozius nitidus","107411"
"Aristaeopsis edwardsiana","240796"
"Gennadas elegans","107095"
"Homola barbata","107262"
"Pilumnus hirtellus","107418"
"Macropodia sp.","205077"
"Latreillia elegans","107265"
"Pisa sp.","106912"
"Derilambrus angulifrons","442260"
"Upogebia pusilla","107741"
"Euchirograpsus liguricus","107452"
"Rissoides sp.","136112"
"Ebalia nux","107299"
"Ebalia cranchii","107294"
"Alpheus sp.","106978"
"Pagurus cuanensis","107235"
"Alpheus platydactylus","107481"
"Ebalia tumefacta","107302"
"Upogebia sp.","107079"
"Upogebia tipica","107743"
"Maja crispata","107348"
"Dorhynchus thomsoni","107316"
"Hymenopenaeus debilis","107117"
"Pisa tetraodon","107358"
"Macropodia linaresi","107341"
"Liocarcinus maculatus","107389"
"Ebalia sp.","106889"
"Anapagurus bicorniger","107213"
"Diogenes pugilator","107199"
"Philocheras fasciatus","107559"
"Lophogaster spinosus","431217"
"Pandalidae","106789"
"Sergestes arachnipodus","107124"
"Calocaris macandreae","107726"
"Processa edulis","107683"
"Periclimenes sp.","107035"
"Athanas sp.","106979"
"Eurynome spinosa","107319"
"Cymonomus granulatus","107444"
"Aegidae","118272"
"Pilumnus inermis","107419"
"Paralepas minuta","106170"
"Stomatopoda","14355"
"Amphipoda","1135"
"Asthenognathus atlanticus","107468"
"Scyllaridae","106795"
"Balanus sp.","106122"
"Eucarida","1089"
"Natantia","181484"
"Crustacea","1066"
"Caprellidae","101361"
"Liocarcinus pusillus","107393"
"Anomura","106671"
"Decapoda","1130"
"Liocarcinus holsatus","107388"
"Brachyura","106673"
"Macrura","846793"
"Crangonidae","106782"
"Caridea","106674"
"Penaeidea","571669"
"Processa nouveli","107689"
"Lophogaster typicus","119936"
"Philocheras bispinosus","107557"
"Mysida","149668"
"Euphausiacea","1128"
"Isopoda","1131"
"Atelecyclus rotundatus","107273"
"Portunidae","106763"
"Thysanoessa spp.","110679"
"Pandalina brevirostris","107647"
"Copepoda","1080"
"Gammaridae","101383"
"Nyctiphanes couchii","254316"
"Xanthidae","106769"
"Systellaspis debilis","107605"
"Galathea intermedia","107150"
"Ilia nucleus","107303"
"Scalpellum scalpellum","106204"
"Munida tenuimana","107166"
"Nematocarcinus ensifer","107573"
"Paguristes eremita","107200"
"Acanthephyra sp.","107081"
"Deosergestes corniculum","514117"
"Notostomus sp.","107025"
"Galathea strigosa","107155"
"Maja goltziana","107349"
"Stylopandalus richardi","107665"
"Gilvossius tyrrhenus","1398927"
"Paguristes sp.","106844"
"Jaxea nocturna","107737"
"Macropodia tenuirostris","107346"
"Platysquilla eusebia","136126"
"Alloteuthis media","153134"
"Alloteuthis subulata","153131"
"Aporrhais pespelecani","138760"
"Aporrhais serresiana","138761"
"Bathypolypus arcticus","140596"
"Bathypolypus sponsalis","140598"
"Calliostoma granulatum","141753"
"Colus gracilis","138899"
"Charonia lampas","141101"
"Eledone cirrhosa","140600"
"Felimare malacitana","597829"
"Illex coindetii","140621"
"Loligo forbesi","416668"
"Loligo vulgaris","140271"
"Euspira fusca","140529"
"Murex sp.","138196"
"Nassarius reticulatus","140513"
"Buccinum sp.","137701"
"Neptunea contraria","138922"
"Octopus macropus","140603"
"Octopus vulgaris","140605"
"Opisthoteuthis agassizii","140652"
"Atrina fragilis","146524"
"Pteria hirundo","140891"
"Neopycnodonte cochlear","140048"
"Ocinebrina aciculata","140407"
"Rossia macrosoma","141449"
"Scaphander lignarius","139488"
"Semicassis saburon","509237"
"Sepia elegans","141443"
"Sepia officinalis","141444"
"Sepia orbignyana","141445"
"Sepiola sp.","138483"
"Todarodes sagittatus","140624"
"Todaropsis eblanae","140625"
"Acanthocardia aculeata","138990"
"Ocinebrina sp.","138201"
"Coralliophila sp.","137837"
"Colus jeffreysianus","138903"
"Laevicardium sp.","137738"
"Cardium sp.","137734"
"Cerastoderma sp.","137735"
"Antalis sp.","150531"
"Histioteuthis reversa","181381"
"Venus verrucosa","141936"
"Modiolus adriaticus","140462"
"Ranella olearium","141115"
"Galeodea rugosa","139024"
"Rhyssoplax olivacea","1392276"
"Tonna galea","141687"
"Venus sp.","139648"
"Glycymeris glycymeris","140025"
"Scaeurgus unicirrhus","140607"
"Naticidae","145"
"Sepiola robusta","141458"
"Sepietta neglecta","141450"
"Hexaplex trunculus","140396"
"Aplysia depilans","138754"
"Ampulla priamus","141963"
"Acanthocardia tuberculata","381057"
"Acanthocardia spinosa","138994"
"Bolinus brandaris","140389"
"Euthria cornea","181057"
"Sepietta obscura","141451"
"Hirtomurex squamosus","550030"
"Cymbium olla","141965"
"Charonia rubicunda","717009"
"Gibbula sp.","138590"
"Solen marginatus","141546"
"Nassarius mutabilis","140508"
"Naticarius hebraeus","720569"
"Ocenebra erinaceus","140405"
"Pinna nobilis","140780"
"Ruditapes decussatus","231749"
"Turritella spp.","138615"
"Pecten maximus","140712"
"Macrotritopus defilippi","534126"
"Crassostrea gigas","140656"
"Sepiola rondeletii","141459"
"Aplysia sp.","137654"
"Brachiopoda","1803"
"Nucula nucleus","140590"
"Cuspidaria cuspidata","139442"
"Sepietta sp.","138482"
"Capulus ungaricus","138984"
"Pleurobranchaea meckelii","140818"
"Heteroteuthis dispar","141446"
"Modiolus modiolus","140467"
"Modiolus martorelli","140466"
"Mitra sp.","131180"
"Anadara corbuloides","138783"
"Semirossia sp","157035"
"Aequipecten opercularis","140687"
"Tethys fimbria","141643"
"Haliotis tuberculata","140059"
"Loligo sp.","138139"
"Eledone moschata","140601"
