"especie","aphia"
"Luidia sarsii","123922"
"Marthasterias glacialis","123803"
"Phormosoma placenta","124343"
"Porania (Porania) pulvillus","125166"
"Psilaster andromeda","123908"
"Ophiura albida","124913"
"Psammechinus miliaris","124319"
"Sclerasterias guernei","123804"
"Stichastrella rosea","123813"
"Parastichopus regalis","149898"
"Parastichopus tremulus","124535"
"Tethyaster subinermis","123913"
"Nymphaster arenatus","124048"
"Spatangus purpureus","124418"
"Ophiothrix fragilis","125131"
"Amphiura chiajei","125073"
"Amphiura filiformis","125080"
"Leptopentacta tergestina","124636"
"Coscinasterias tenuispina","123795"
"Amphipholis squamata","125064"
"Sphaerechinus granularis","124427"
"Echinocyamus pusillus","124273"
"Holothuria forskali","124501"
"Porania hibrida","999999"
"Echinocardium cordatum","124392"
"Echinocardium aculeata","999999"
"Antedon bifida moroccana","714190"
"Antedon mediterranea","124208"
"Arbaciella elegans","124250"
"Asterina gibbosa","123987"
"Astropecten aranciacus","123856"
"Leptopentacta elongata","124635"
"Echinaster (Echinaster) sepositus","125161"
"Ova canaliferus","513426"
"Holothuria tubulosa","732401"
"Leptometra phalangium","124226"
"Molpadia musculus","124801"
"Ophioderma longicauda","124821"
"Ophiopsila aranea","125049"
"Synaptidae","123182"
"Ophiura ophiura","124929"
"Paracentrotus lividus","124316"
"Psammechinus microtuberculatus","124318"
"Genocidaris maculata","124423"
"Peltaster placenta","124055"
"Brissus unicolor","124380"
"Centrostephanus longispinus","124331"
"Brissopsis atlantica mediterranea","738053"
"Ophiomyxa pentagona","125144"
"Pseudarchaster parelii","124085"
"Astrospartus mediterraneus","124963"
"Odontaster mediterraneus","124091"
"Pseudarchaster gracilis","178133"
"Asteroidea","123080"
"Ophiura sp.","123574"
"Ophidiaster ophidianus","124101"
"Astropecten spp.","123245"
"Astropecten spinulosus","123878"
"Hacelia attenuata","124094"
"Arbacia lixula","124249"
"Ophiothrix quinquemaculata","181534"
"Ophiacantha setosa","125002"
"Ocnus planci","124647"
"Holothuria sp.","123456"
"Echinocardium sp.","123426"
"Phyllophorus urna","241356"
"Molpadia sp.","123540"
"Cidaris sp.","123377"
"Echinus sp.","123386"
"Ophiothrix sp.","123626"
"Ophiuroidea","123084"
"Porania sp","123320"
"Crinoidea","123081"
"Echinoidea","123082"
"Holothuroidea","123083"
"Echinodermata","1806"
"VARIOS","999999"
"Actinauge richardi","100930"
"Aphrodita aculeata","129840"
