"gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"1"," 51",2,41.9656,-9.0446,112.5,33,1,"N04","Micromesistius poutassou"
"1"," 51",3,41.986,-9.3125,173.5,2230,53,"N04","Micromesistius poutassou"
"1"," 51",4,42.1525,-9.0673,134,125,5,"N04","Micromesistius poutassou"
"1"," 51",6,42.0562,-9.3528,222.5,785,12,"N04","Micromesistius poutassou"
"1"," 51",7,42.1201,-9.2759,187,965,22,"N04","Micromesistius poutassou"
"1"," 51",9,42.2229,-8.9705,102,95,3,"N04","Micromesistius poutassou"
"1"," 51",10,42.2668,-9.1138,138.5,459750,8889,"N04","Micromesistius poutassou"
"1"," 51",11,42.286,-9.348,240,61855,1212,"N04","Micromesistius poutassou"
"1"," 51",12,42.3646,-9.146,140.5,180,2,"N04","Micromesistius poutassou"
"1"," 51",14,42.5164,-9.2803,129.5,25600,683,"N04","Micromesistius poutassou"
"1"," 51",15,42.7837,-9.5425,242.5,30400,669,"N04","Micromesistius poutassou"
"1"," 51",16,42.529,-9.3994,259,106150,2250,"N04","Micromesistius poutassou"
"1"," 51",17,42.8165,-9.2868,114.5,150,5,"N04","Micromesistius poutassou"
"1"," 51",18,42.7044,-9.3639,132.5,1390,35,"N04","Micromesistius poutassou"
"1"," 51",19,42.8542,-9.424,155,3170,80,"N04","Micromesistius poutassou"
"1"," 51",20,42.9441,-9.5543,229,34800,822,"N04","Micromesistius poutassou"
"1"," 51",21,43.1958,-9.4333,170.5,55100,1745,"N04","Micromesistius poutassou"
"1"," 51",22,43.0761,-9.5731,254,22000,409,"N04","Micromesistius poutassou"
"1"," 51",23,43.0362,-9.4171,142.5,34400,1078,"N04","Micromesistius poutassou"
"1"," 51",24,43.3543,-9.3886,271,14000,209,"N04","Micromesistius poutassou"
"1"," 51",25,43.3029,-9.2854,169.5,32100,938,"N04","Micromesistius poutassou"
"1"," 51",26,43.2358,-9.5151,269.5,28800,374,"N04","Micromesistius poutassou"
"1"," 51",27,43.2463,-9.1212,94,210,2,"N04","Micromesistius poutassou"
"1"," 51",28,43.3724,-9.0665,155,23150,709,"N04","Micromesistius poutassou"
"1"," 51",29,43.4333,-9.2021,263,58900,1590,"N04","Micromesistius poutassou"
"1"," 51",30,43.9583,-8.6562,445.5,8950,158,"N04","Micromesistius poutassou"
"1"," 51",31,43.7998,-8.7119,375.5,23400,566,"N04","Micromesistius poutassou"
"1"," 51",32,43.6761,-8.9032,531.5,7916.66666666667,99,"N04","Micromesistius poutassou"
"1"," 51",33,43.5641,-9.0569,318,15330,301,"N04","Micromesistius poutassou"
"1"," 51",34,44.0756,-8.4537,336.5,2300,24,"N04","Micromesistius poutassou"
"1"," 51",35,43.9748,-8.4231,281,5710,164,"N04","Micromesistius poutassou"
"1"," 51",36,44.0397,-8.7078,460,22555.6631171346,266,"N04","Micromesistius poutassou"
"1"," 51",37,44.1063,-8.9382,689,3813.19622964867,27,"N04","Micromesistius poutassou"
"1"," 51",38,43.6179,-8.9047,251.5,11050,324,"N04","Micromesistius poutassou"
"1"," 51",39,43.446,-8.8364,151,4750,150,"N04","Micromesistius poutassou"
"1"," 51",40,43.3649,-8.7629,91.5,1690,15,"N04","Micromesistius poutassou"
"1"," 51",41,43.449,-8.9786,161.5,30800,934,"N04","Micromesistius poutassou"
"1"," 51",42,43.5256,-8.8071,158.5,30800,903,"N04","Micromesistius poutassou"
"1"," 51",43,43.472,-8.6941,140.5,430,12,"N04","Micromesistius poutassou"
"1"," 51",44,43.5464,-8.4813,134.5,1975,57,"N04","Micromesistius poutassou"
"1"," 51",46,43.6148,-8.5068,158,3760,110,"N04","Micromesistius poutassou"
"1"," 51",47,43.6168,-8.6905,173.5,15700,440,"N04","Micromesistius poutassou"
"1"," 51",48,43.8399,-7.9119,131,95,1,"N04","Micromesistius poutassou"
"1"," 51",49,43.9185,-8.0636,184,11590,297,"N04","Micromesistius poutassou"
"1"," 51",50,44.0465,-8.0085,235.5,39500,1264,"N04","Micromesistius poutassou"
